Project,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,1428,102,50,52,14,1312,0.7812,0.4902,0.6024,0.597
ArgoUML,5426,969,892,77,211,4246,0.8087,0.9205,0.861,0.831
Columba,1792,128,103,25,11,1653,0.9035,0.8047,0.8512,0.8421
EMF,1036,74,33,41,1,961,0.9706,0.4459,0.6111,0.6431
Hibernate,2492,377,265,112,33,2082,0.8893,0.7029,0.7852,0.759
JEdit,2730,195,57,138,23,2512,0.7125,0.2923,0.4145,0.4325
JFreeChart,1414,101,68,33,16,1297,0.8095,0.6733,0.7351,0.7202
JMeter,3948,282,212,70,76,3590,0.7361,0.7518,0.7439,0.724
JRuby,3652,383,330,53,62,3207,0.8418,0.8616,0.8516,0.8341
SQuirrel,2814,201,124,77,36,2577,0.775,0.6169,0.687,0.6708
Dubbo,1190,85,59,26,23,1082,0.7195,0.6941,0.7066,0.6846
Gradle,3324,321,233,88,166,2837,0.584,0.7259,0.6472,0.6094
Groovy,3486,249,193,56,68,3169,0.7395,0.7751,0.7569,0.7379
Hive,14644,1046,830,216,214,13384,0.795,0.7935,0.7943,0.7784
Maven,1219,136,98,38,42,1041,0.7,0.7206,0.7101,0.6732
Poi,8652,618,545,73,253,7781,0.683,0.8819,0.7698,0.7569
SpringFramework,1372,98,66,32,19,1255,0.7765,0.6735,0.7213,0.7035
Storm,1288,92,66,26,21,1175,0.7586,0.7174,0.7374,0.7182
Tomcat,4018,287,226,61,64,3667,0.7793,0.7875,0.7834,0.7666
Zookeeper,882,63,39,24,22,797,0.6393,0.619,0.629,0.6011
