Target,Source,Total,PositiveCount,TP,FN,FP,TN,Precision,Recall,F1,MCC
Ant,ArgoUML,1938,102,26,76,19,1817,0.5778,0.2549,0.3537,0.3626
Ant,Columba,1938,102,21,81,3,1833,0.875,0.2059,0.3333,0.4124
Ant,EMF,1938,102,14,88,9,1827,0.6087,0.1373,0.224,0.2729
Ant,Hibernate,1938,102,24,78,20,1816,0.5455,0.2353,0.3288,0.3364
Ant,JEdit,1938,102,35,67,43,1793,0.4487,0.3431,0.3889,0.3632
Ant,JFreeChart,1938,102,21,81,30,1806,0.4118,0.2059,0.2745,0.2644
Ant,JMeter,1938,102,21,81,5,1831,0.8077,0.2059,0.3281,0.3943
Ant,JRuby,1938,102,36,66,11,1825,0.766,0.3529,0.4832,0.5036
Ant,SQuirrel,1938,102,20,82,9,1827,0.6897,0.1961,0.3053,0.3516
Ant,Dubbo,1938,102,9,93,6,1830,0.6,0.0882,0.1538,0.2165
Ant,Gradle,1938,102,13,89,4,1832,0.7647,0.1275,0.2185,0.3
Ant,Groovy,1938,102,18,84,1,1835,0.9474,0.1765,0.2975,0.3987
Ant,Hive,1938,102,33,69,16,1820,0.6735,0.3235,0.4371,0.4478
Ant,Maven,1938,102,21,81,25,1811,0.4565,0.2059,0.2838,0.282
Ant,Poi,1938,102,28,74,6,1830,0.8235,0.2745,0.4118,0.4613
Ant,SpringFramework,1938,102,14,88,4,1832,0.7778,0.1373,0.2333,0.3144
Ant,Storm,1938,102,19,83,10,1826,0.6552,0.1863,0.2901,0.3326
Ant,Tomcat,1938,102,40,62,13,1823,0.7547,0.3922,0.5161,0.5272
Ant,Zookeeper,1938,102,22,80,10,1826,0.6875,0.2157,0.3284,0.3684
ArgoUML,Ant,5426,969,751,218,150,4307,0.8335,0.775,0.8032,0.763
ArgoUML,Columba,5426,969,878,91,168,4289,0.8394,0.9061,0.8715,0.8431
ArgoUML,EMF,5426,969,872,97,176,4281,0.8321,0.8999,0.8647,0.8348
ArgoUML,Hibernate,5426,969,847,122,175,4282,0.8288,0.8741,0.8508,0.8178
ArgoUML,JEdit,5426,969,657,312,178,4279,0.7868,0.678,0.7284,0.6773
ArgoUML,JFreeChart,5426,969,826,143,186,4271,0.8162,0.8524,0.8339,0.7971
ArgoUML,JMeter,5426,969,785,184,146,4311,0.8432,0.8101,0.8263,0.7897
ArgoUML,JRuby,5426,969,856,113,161,4296,0.8417,0.8834,0.862,0.8315
ArgoUML,SQuirrel,5426,969,880,89,190,4267,0.8224,0.9082,0.8632,0.8332
ArgoUML,Dubbo,5426,969,590,379,94,4363,0.8626,0.6089,0.7139,0.6783
ArgoUML,Gradle,5426,969,640,329,82,4375,0.8864,0.6605,0.7569,0.724
ArgoUML,Groovy,5426,969,728,241,113,4344,0.8656,0.7513,0.8044,0.7683
ArgoUML,Hive,5426,969,833,136,153,4304,0.8448,0.8596,0.8522,0.8197
ArgoUML,Maven,5426,969,712,257,164,4293,0.8128,0.7348,0.7718,0.7266
ArgoUML,Poi,5426,969,816,153,131,4326,0.8617,0.8421,0.8518,0.8201
ArgoUML,SpringFramework,5426,969,878,91,178,4279,0.8314,0.9061,0.8672,0.8379
ArgoUML,Storm,5426,969,867,102,178,4279,0.8297,0.8947,0.861,0.8302
ArgoUML,Tomcat,5426,969,748,221,113,4344,0.8688,0.7719,0.8175,0.7826
ArgoUML,Zookeeper,5426,969,597,372,100,4357,0.8565,0.6161,0.7167,0.6796
Columba,Ant,2432,128,83,45,11,2293,0.883,0.6484,0.7477,0.7456
Columba,ArgoUML,2432,128,83,45,9,2295,0.9022,0.6484,0.7545,0.7544
Columba,EMF,2432,128,88,40,7,2297,0.9263,0.6875,0.7892,0.7889
Columba,Hibernate,2432,128,99,29,16,2288,0.8609,0.7734,0.8148,0.8064
Columba,JEdit,2432,128,86,42,29,2275,0.7478,0.6719,0.7078,0.6936
Columba,JFreeChart,2432,128,95,33,18,2286,0.8407,0.7422,0.7884,0.7791
Columba,JMeter,2432,128,82,46,10,2294,0.8913,0.6406,0.7455,0.7447
Columba,JRuby,2432,128,102,26,6,2298,0.9444,0.7969,0.8644,0.861
Columba,SQuirrel,2432,128,88,40,4,2300,0.9565,0.6875,0.8,0.8026
Columba,Dubbo,2432,128,71,57,10,2294,0.8765,0.5547,0.6794,0.6849
Columba,Gradle,2432,128,56,72,4,2300,0.9333,0.4375,0.5957,0.6273
Columba,Groovy,2432,128,77,51,5,2299,0.939,0.6016,0.7333,0.7415
Columba,Hive,2432,128,98,30,11,2293,0.8991,0.7656,0.827,0.8211
