,NLP_MCC_CV,TM_MCC_CV,CNN_MCC_CV,NLP_F1_CV,TM_F1_CV,CNN_F1_CV
Ant,0.08051205307206177,0.09189858224330147,0.10860565630130396,0.06066596205676848,0.13230614803258264,0.21149015944784333
ArgoUML,0.025049385088114707,0.04317793421361891,0.025392169254229883,0.02244866205818519,0.035075604026146574,0.04882708561406267
Columba,0.06680572377674503,0.10744455157471562,0.02263850227957183,0.06172694842023063,0.14001328621179154,0.05416808722729351
EMF,0.09497504462872612,0.07760755144477868,0.03161070558028845,0.08823056738806728,0.1373364510307955,0.0905428183469425
Hibernate,0.03825664583792011,0.061691099367974796,0.020122422040910387,0.02720762571881937,0.04630883407852361,0.05039946669979607
JEdit,0.06318632786193146,0.08271927495538456,0.06773152315935367,0.15935997171747557,0.06678931859735157,0.1874047604459947
JFreeChart,0.06091074127855743,0.07608026595926916,0.03715771806567603,0.04965546398576538,0.10108185227236575,0.08137395042711063
JMeter,0.0699563345659048,0.09052542664117848,0.024560805435913383,0.05728182115595678,0.1012547333102207,0.05124683497549075
JRuby,0.02775041869120964,0.06894030063163095,0.026480862708769343,0.028152429635019606,0.0653650950854416,0.06012676239037187
SQuirrel,0.07321651852868354,0.06925217420245175,0.030607253695143832,0.0705149917029647,0.1001946419131613,0.07849826555049702
Dubbo,0.04637785904289834,0.07881771591023738,0.07209897811077748,0.040615190507846885,0.09955739643982685,0.1275167139477448
Gradle,0.05581854904618693,0.060951358498488394,0.055127733815944976,0.05769012307481983,0.06943230225297961,0.10781116865373229
Groovy,0.07450521329107074,0.08967230486604927,0.05184809239634591,0.07904194175215341,0.11378302612014897,0.08916288493243402
Hive,0.106091050540956,0.09091275164518665,0.035485161031579816,0.11830103825919881,0.13555650398647387,0.06761344587054731
Maven,0.034731007355827584,0.03845718002439381,0.06190575756381388,0.03012866797170497,0.041698766568831584,0.10586068209742656
Poi,0.07266312070961452,0.09380090413632583,0.03415972918706314,0.07451240070506063,0.12576252015866402,0.06479117596762486
SpringFramework,0.14557201884516865,0.10659464749896892,0.0287877627892715,0.17887147728490901,0.19190504435332462,0.07368957436843916
Storm,0.12955972152950862,0.08906488261497733,0.030078624580116394,0.14600306553236153,0.1544816660148564,0.0680033606038857
Tomcat,0.09891699699071449,0.106674459346332,0.04884416181024436,0.11747737051487851,0.1700848923492006,0.090846912898812
Zookeeper,0.11989686282032128,0.08301159522908631,0.07322300749956209,0.13483429793935844,0.1519123812751018,0.12064672250528147
