Project,Method,Metric,CV_Value,Experiment
Ant,MAT,MCC_CV,0.0,MTO
ArgoUML,MAT,MCC_CV,2.6207483233253213e-16,MTO
Columba,MAT,MCC_CV,1.289480229784824e-16,MTO
EMF,MAT,MCC_CV,1.915196953009727e-16,MTO
Hibernate,MAT,MCC_CV,1.3822692353293002e-16,MTO
JEdit,MAT,MCC_CV,0.0,MTO
JFreeChart,MAT,MCC_CV,0.0,MTO
JMeter,MAT,MCC_CV,1.3235891659389252e-16,MTO
JRuby,MAT,MCC_CV,0.0,MTO
SQuirrel,MAT,MCC_CV,0.0,MTO
Dubbo,MAT,MCC_CV,0.0,MTO
Gradle,MAT,MCC_CV,1.657229346252367e-16,MTO
Groovy,MAT,MCC_CV,1.463734794689725e-16,MTO
Hive,MAT,MCC_CV,1.4538713767583e-16,MTO
Maven,MAT,MCC_CV,3.255471493179789e-16,MTO
Poi,MAT,MCC_CV,0.0,MTO
SpringFramework,MAT,MCC_CV,1.6502250126188063e-16,MTO
Storm,MAT,MCC_CV,0.0,MTO
Tomcat,MAT,MCC_CV,1.4825438829419956e-16,MTO
Zookeeper,MAT,MCC_CV,0.0,MTO
Ant,NLP,MCC_CV,0.0764812147252224,MTO
ArgoUML,NLP,MCC_CV,0.0163315787735565,MTO
Columba,NLP,MCC_CV,0.0543595447292716,MTO
EMF,NLP,MCC_CV,0.082707027159946,MTO
Hibernate,NLP,MCC_CV,0.0296762500375167,MTO
JEdit,NLP,MCC_CV,0.0460806751024502,MTO
JFreeChart,NLP,MCC_CV,0.0553703254512985,MTO
JMeter,NLP,MCC_CV,0.0584714819585814,MTO
JRuby,NLP,MCC_CV,0.0316660465166695,MTO
SQuirrel,NLP,MCC_CV,0.0460551605505122,MTO
Dubbo,NLP,MCC_CV,0.0545949331904456,MTO
Gradle,NLP,MCC_CV,0.0353445990086548,MTO
Groovy,NLP,MCC_CV,0.0546767965190886,MTO
Hive,NLP,MCC_CV,0.0684062817133481,MTO
Maven,NLP,MCC_CV,0.0334011711007331,MTO
Poi,NLP,MCC_CV,0.0533435490307833,MTO
SpringFramework,NLP,MCC_CV,0.1316503108853301,MTO
Storm,NLP,MCC_CV,0.0920191655125388,MTO
Tomcat,NLP,MCC_CV,0.1018709982418469,MTO
Zookeeper,NLP,MCC_CV,0.1185761662985139,MTO
Ant,TM,MCC_CV,0.1103650768801002,MTO
ArgoUML,TM,MCC_CV,0.0508027927624581,MTO
Columba,TM,MCC_CV,0.0979211311701813,MTO
EMF,TM,MCC_CV,0.1644932136076402,MTO
Hibernate,TM,MCC_CV,0.0730491096067973,MTO
JEdit,TM,MCC_CV,0.0507059117019196,MTO
JFreeChart,TM,MCC_CV,0.0919514061906797,MTO
JMeter,TM,MCC_CV,0.099667006533732,MTO
JRuby,TM,MCC_CV,0.0750207791060372,MTO
SQuirrel,TM,MCC_CV,0.0902200763798219,MTO
Dubbo,TM,MCC_CV,0.0890224561549017,MTO
Gradle,TM,MCC_CV,0.0855528267431954,MTO
Groovy,TM,MCC_CV,0.1012306744588796,MTO
Hive,TM,MCC_CV,0.1406402237762323,MTO
Maven,TM,MCC_CV,0.0505491195399139,MTO
Poi,TM,MCC_CV,0.1379872596151299,MTO
SpringFramework,TM,MCC_CV,0.202859663645979,MTO
Storm,TM,MCC_CV,0.170014928552153,MTO
Tomcat,TM,MCC_CV,0.1409877491503418,MTO
Zookeeper,TM,MCC_CV,0.1512391531644982,MTO
Ant,CNN,MCC_CV,0.0798064128815228,MTO
ArgoUML,CNN,MCC_CV,0.0229910570395996,MTO
Columba,CNN,MCC_CV,0.0244084106482858,MTO
EMF,CNN,MCC_CV,0.0746294698996186,MTO
Hibernate,CNN,MCC_CV,0.0311258382186296,MTO
JEdit,CNN,MCC_CV,0.1449290247326539,MTO
JFreeChart,CNN,MCC_CV,0.0465270723933963,MTO
JMeter,CNN,MCC_CV,0.0291049782294732,MTO
JRuby,CNN,MCC_CV,0.0201028116176886,MTO
SQuirrel,CNN,MCC_CV,0.0682316706849318,MTO
Dubbo,CNN,MCC_CV,0.0436830172750332,MTO
Gradle,CNN,MCC_CV,0.0664764548877608,MTO
Groovy,CNN,MCC_CV,0.0586532201217017,MTO
Hive,CNN,MCC_CV,0.0447877888794333,MTO
Maven,CNN,MCC_CV,0.0434815438017271,MTO
Poi,CNN,MCC_CV,0.0532367854998115,MTO
SpringFramework,CNN,MCC_CV,0.0587583790870511,MTO
Storm,CNN,MCC_CV,0.0445120740867961,MTO
Tomcat,CNN,MCC_CV,0.0455987547801679,MTO
Zookeeper,CNN,MCC_CV,0.0779614223361857,MTO
Ant,MAT,F1_CV,1.8596700579985875e-16,MTO
ArgoUML,MAT,F1_CV,0.0,MTO
