IR,Experiment,Method,Metric,Value
1,MTO,MAT,MCC,0.739333384912159
2,MTO,MAT,MCC,0.739333384912159
3,MTO,MAT,MCC,0.739333384912159
4,MTO,MAT,MCC,0.739333384912159
5,MTO,MAT,MCC,0.739333384912159
6,MTO,MAT,MCC,0.739333384912159
7,MTO,MAT,MCC,0.739333384912159
8,MTO,MAT,MCC,0.739333384912159
9,MTO,MAT,MCC,0.739333384912159
10,MTO,MAT,MCC,0.739333384912159
11,MTO,MAT,MCC,0.739333384912159
12,MTO,MAT,MCC,0.739333384912159
13,MTO,MAT,MCC,0.739333384912159
14,MTO,MAT,MCC,0.739333384912159
15,MTO,MAT,MCC,0.739333384912159
16,MTO,MAT,MCC,0.739333384912159
17,MTO,MAT,MCC,0.739333384912159
18,MTO,MAT,MCC,0.739333384912159
19,MTO,MAT,MCC,0.739333384912159
20,MTO,MAT,MCC,0.739333384912159
1,MTO,MAT,F1,0.7424999999999999
2,MTO,MAT,F1,0.7424999999999999
3,MTO,MAT,F1,0.7424999999999999
4,MTO,MAT,F1,0.7424999999999999
5,MTO,MAT,F1,0.7424999999999999
6,MTO,MAT,F1,0.7424999999999999
7,MTO,MAT,F1,0.7424999999999999
8,MTO,MAT,F1,0.7424999999999999
9,MTO,MAT,F1,0.7424999999999999
10,MTO,MAT,F1,0.7424999999999999
11,MTO,MAT,F1,0.7424999999999999
12,MTO,MAT,F1,0.7424999999999999
13,MTO,MAT,F1,0.7424999999999999
14,MTO,MAT,F1,0.7424999999999999
15,MTO,MAT,F1,0.7424999999999999
16,MTO,MAT,F1,0.7424999999999999
17,MTO,MAT,F1,0.7424999999999999
18,MTO,MAT,F1,0.7424999999999999
19,MTO,MAT,F1,0.7424999999999999
20,MTO,MAT,F1,0.7424999999999999
1,MTO,NLP,MCC,0.5112161287390005
2,MTO,NLP,MCC,0.5658982311304765
3,MTO,NLP,MCC,0.5553413614936646
4,MTO,NLP,MCC,0.5876416403807028
5,MTO,NLP,MCC,0.5952546019639193
6,MTO,NLP,MCC,0.6031896236379739
7,MTO,NLP,MCC,0.5943521217883718
8,MTO,NLP,MCC,0.6016106568768278
9,MTO,NLP,MCC,0.5979618775019687
10,MTO,NLP,MCC,0.619482837283567
11,MTO,NLP,MCC,0.6059875010783609
12,MTO,NLP,MCC,0.5984950620239899
13,MTO,NLP,MCC,0.594965851558506
14,MTO,NLP,MCC,0.5945207707014057
15,MTO,NLP,MCC,0.6232303312677334
16,MTO,NLP,MCC,0.6021734450806042
17,MTO,NLP,MCC,0.6019981311991525
18,MTO,NLP,MCC,0.6104752860245036
19,MTO,NLP,MCC,0.6197976665576497
20,MTO,NLP,MCC,0.6120863751761735
1,MTO,NLP,F1,0.4985
2,MTO,NLP,F1,0.5585
3,MTO,NLP,F1,0.5675
4,MTO,NLP,F1,0.599
5,MTO,NLP,F1,0.611
6,MTO,NLP,F1,0.6214999999999999
7,MTO,NLP,F1,0.612
8,MTO,NLP,F1,0.6225
9,MTO,NLP,F1,0.617
10,MTO,NLP,F1,0.6365000000000001
11,MTO,NLP,F1,0.638
12,MTO,NLP,F1,0.6234999999999999
13,MTO,NLP,F1,0.625
14,MTO,NLP,F1,0.6305000000000001
15,MTO,NLP,F1,0.6485000000000001
16,MTO,NLP,F1,0.6325000000000001
17,MTO,NLP,F1,0.6315
18,MTO,NLP,F1,0.6385000000000001
19,MTO,NLP,F1,0.6425000000000001
20,MTO,NLP,F1,0.6395
1,MTO,TM,MCC,0.4147481351508076
2,MTO,TM,MCC,0.5587051087445878
3,MTO,TM,MCC,0.6141367423481592
4,MTO,TM,MCC,0.6460491741813412
5,MTO,TM,MCC,0.6522749993967973
6,MTO,TM,MCC,0.6589320425015204
7,MTO,TM,MCC,0.6674200313241858
8,MTO,TM,MCC,0.6463646113399626
9,MTO,TM,MCC,0.6648798896236928
10,MTO,TM,MCC,0.670781352838099
11,MTO,TM,MCC,0.6769952007122375
12,MTO,TM,MCC,0.662039339849951
