Method,MAT,MAT,NLP,NLP,TM,TM,CNN,CNN
Metric,MCC,F1,MCC,F1,MCC,F1,MCC,F1
1,0.739333384912159,0.7424999999999999,0.5112161287390005,0.4985,0.4147481351508076,0.3735,0.7592,0.8747
2,0.739333384912159,0.7424999999999999,0.5658982311304765,0.5585,0.5587051087445878,0.5445,0.77755,0.8458
3,0.739333384912159,0.7424999999999999,0.5553413614936646,0.5675,0.6141367423481592,0.609,0.77685,0.8250500000000001
4,0.739333384912159,0.7424999999999999,0.5876416403807028,0.599,0.6460491741813412,0.6575,0.7596499999999999,0.7999
5,0.739333384912159,0.7424999999999999,0.5952546019639193,0.611,0.6522749993967973,0.6795,0.7407,0.7792
6,0.739333384912159,0.7424999999999999,0.6031896236379739,0.6214999999999999,0.6589320425015204,0.674,0.7495499999999999,0.7785500000000001
7,0.739333384912159,0.7424999999999999,0.5943521217883718,0.612,0.6674200313241858,0.6825000000000001,0.7555499999999999,0.7805
8,0.739333384912159,0.7424999999999999,0.6016106568768278,0.6225,0.6463646113399626,0.668,0.7555499999999999,0.77545
9,0.739333384912159,0.7424999999999999,0.5979618775019687,0.617,0.6648798896236928,0.6715,0.75295,0.7714
10,0.739333384912159,0.7424999999999999,0.619482837283567,0.6365000000000001,0.670781352838099,0.6775,0.725,0.74495
11,0.739333384912159,0.7424999999999999,0.6059875010783609,0.638,0.6769952007122375,0.686,0.7434000000000001,0.7645500000000001
12,0.739333384912159,0.7424999999999999,0.5984950620239899,0.6234999999999999,0.662039339849951,0.672,0.7374,0.751
13,0.739333384912159,0.7424999999999999,0.594965851558506,0.625,0.6765235228868973,0.687,0.7192,0.7362500000000001
14,0.739333384912159,0.7424999999999999,0.5945207707014057,0.6305000000000001,0.6735904346190791,0.6825000000000001,0.7172499999999999,0.7361
15,0.739333384912159,0.7424999999999999,0.6232303312677334,0.6485000000000001,0.6824616100274981,0.6905,0.7101500000000001,0.7262
16,0.739333384912159,0.7424999999999999,0.6021734450806042,0.6325000000000001,0.6733758005758018,0.68,0.7173499999999999,0.7305999999999999
17,0.739333384912159,0.7424999999999999,0.6019981311991525,0.6315,0.6747937643385296,0.682,0.72105,0.7382500000000001
18,0.739333384912159,0.7424999999999999,0.6104752860245036,0.6385000000000001,0.6676970381515999,0.677,0.7323,0.7343999999999999
19,0.739333384912159,0.7424999999999999,0.6197976665576497,0.6425000000000001,0.6711559366289059,0.681,0.70035,0.7173
20,0.739333384912159,0.7424999999999999,0.6120863751761735,0.6395,0.6708101344239472,0.677,0.6853,0.7058500000000001
