Method,MAT,MAT,NLP,NLP,TM,TM,CNN,CNN
Metric,MCC,F1,MCC,F1,MCC,F1,MCC,F1
1,0.7241509334145977,0.7251000000000001,0.4551592244168594,0.4461052631578947,0.2948486881384208,0.26202500000000006,0.6455184210526316,0.8141552631578948
2,0.7241509334145977,0.7251000000000001,0.5216954836031211,0.5388157894736842,0.3381824135337757,0.318925,0.6651381578947368,0.7468815789473683
3,0.7241509334145977,0.7251000000000001,0.5611200607679885,0.5776052631578947,0.36244285862088216,0.35825000000000007,0.668186842105263,0.7238868421052631
4,0.7241509334145977,0.7251000000000001,0.5708142812758704,0.5871315789473683,0.3849198055366282,0.38970000000000005,0.6715868421052632,0.7106276315789473
5,0.7241509334145977,0.7251000000000001,0.5826051153446916,0.5966315789473684,0.39563327905932616,0.40102499999999996,0.668246052631579,0.6938657894736842
6,0.7241509334145977,0.7251000000000001,0.5802867242507851,0.5918157894736842,0.36301690893784083,0.37479999999999997,0.6591921052631579,0.6783592105263156
7,0.7241509334145977,0.7251000000000001,0.5848399914831713,0.5955526315789474,0.3717352538780956,0.38200000000000006,0.6631513157894737,0.676136842105263
8,0.7241509334145977,0.7251000000000001,0.5910398941146505,0.6039736842105263,0.3855493981534496,0.395775,0.6697578947368421,0.6808947368421052
9,0.7241509334145977,0.7251000000000001,0.5964199461461599,0.6092368421052632,0.3796679516120086,0.40005,0.6480355263157894,0.658625
10,0.7241509334145977,0.7251000000000001,0.5967993414784748,0.6097105263157894,0.38982879794008995,0.40970000000000006,0.6484684210526315,0.657425
11,0.7241509334145977,0.7251000000000001,0.5979528755455928,0.6128421052631579,0.3921942816971561,0.40435,0.6475263157894737,0.651275
12,0.7241509334145977,0.7251000000000001,0.5969319600258726,0.6123947368421052,0.39106360400163953,0.41225,0.6466723684210527,0.6462973684210525
13,0.7241509334145977,0.7251000000000001,0.6004838241443639,0.6163947368421052,0.40955640161371676,0.4202,0.6392855263157895,0.6379802631578948
14,0.7241509334145977,0.7251000000000001,0.5995926103029896,0.6157368421052631,0.3962139186469506,0.411175,0.6298881578947368,0.6303249999999999
15,0.7241509334145977,0.7251000000000001,0.5925270306392469,0.6068684210526316,0.4094203938083371,0.4256,0.6257763157894737,0.6236065789473684
16,0.7241509334145977,0.7251000000000001,0.5890351422384106,0.6055526315789475,0.3943027283906001,0.408825,0.6186078947368421,0.6115552631578947
17,0.7241509334145977,0.7251000000000001,0.5943636841409714,0.6093421052631578,0.4065882254337204,0.42332499999999995,0.6191842105263158,0.6186184210526315
18,0.7241509334145977,0.7251000000000001,0.5965477150065499,0.6111578947368421,0.4160955632267782,0.430625,0.6288947368421053,0.6279855263157895
19,0.7241509334145977,0.7251000000000001,0.594787221017824,0.6089473684210527,0.40708995375384166,0.42425,0.6132513157894738,0.6090131578947368
20,0.7241509334145977,0.7251000000000001,0.5846533438548318,0.5987894736842105,0.4164089022636087,0.42945,0.59545,0.5918289473684211
