Project,MCC,,,,F1,,,,,Project,MCC,,,F1,,
,MAT,NLP,TM,CNN,MAT,NLP,TM,CNN,,,NLP,TM,CNN,NLP,TM,CNN
Ant,0,0.0765,0.1104,0.0798,0,0.093,0.1312,0.1223,,Ant,0.0805,0.0919,0.1086,0.0607,0.1323,0.2115
ArgoUML,0,0.0163,0.0508,0.023,0,0.0146,0.0447,0.0285,,ArgoUML,0.025,0.0432,0.0254,0.0224,0.0351,0.0488
Columba,0,0.0544,0.0979,0.0244,0,0.0639,0.116,0.0343,,Columba,0.0668,0.1074,0.0226,0.0617,0.14,0.0542
EMF,0,0.0827,0.1645,0.0746,0,0.0893,0.1824,0.1085,,EMF,0.095,0.0776,0.0316,0.0882,0.1373,0.0905
Hibernate,0,0.0297,0.073,0.0311,0,0.023,0.0632,0.0493,,Hibernate,0.0383,0.0617,0.0201,0.0272,0.0463,0.0504
JEdit,0,0.0461,0.0507,0.1449,0,0.053,0.0891,0.2133,,JEdit,0.0632,0.0827,0.0677,0.1594,0.0668,0.1874
JFreeChart,0,0.0554,0.092,0.0465,0,0.0614,0.1116,0.0615,,JFreeChart,0.0609,0.0761,0.0372,0.0497,0.1011,0.0814
JMeter,0,0.0585,0.0997,0.0291,0,0.0592,0.1039,0.0372,,JMeter,0.07,0.0905,0.0246,0.0573,0.1013,0.0512
JRuby,0,0.0317,0.075,0.0201,0,0.0326,0.0753,0.0298,,JRuby,0.0278,0.0689,0.0265,0.0282,0.0654,0.0601
SQuirrel,0,0.0461,0.0902,0.0682,0,0.0531,0.1086,0.1025,,SQuirrel,0.0732,0.0693,0.0306,0.0705,0.1002,0.0785
Dubbo,0,0.0546,0.089,0.0437,0,0.0592,0.0995,0.0585,,Dubbo,0.0464,0.0788,0.0721,0.0406,0.0996,0.1275
Gradle,0,0.0353,0.0856,0.0665,0,0.0459,0.0955,0.0895,,Gradle,0.0558,0.061,0.0551,0.0577,0.0694,0.1078
Groovy,0,0.0547,0.1012,0.0587,0,0.0691,0.1209,0.0753,,Groovy,0.0745,0.0897,0.0518,0.079,0.1138,0.0892
Hive,0,0.0684,0.1406,0.0448,0,0.0975,0.1723,0.0669,,Hive,0.1061,0.0909,0.0355,0.1183,0.1356,0.0676
Maven,0,0.0334,0.0505,0.0435,0,0.0315,0.0558,0.0639,,Maven,0.0347,0.0385,0.0619,0.0301,0.0417,0.1059
Poi,0,0.0533,0.138,0.0532,0,0.0727,0.1616,0.0685,,Poi,0.0727,0.0938,0.0342,0.0745,0.1258,0.0648
SpringFramework,0,0.1317,0.2029,0.0588,0,0.1981,0.2643,0.0782,,SpringFramework,0.1456,0.1066,0.0288,0.1789,0.1919,0.0737
Storm,0,0.092,0.17,0.0445,0,0.1323,0.2041,0.0584,,Storm,0.1296,0.0891,0.0301,0.146,0.1545,0.068
Tomcat,0,0.1019,0.141,0.0456,0,0.1404,0.1847,0.0646,,Tomcat,0.0989,0.1067,0.0488,0.1175,0.1701,0.0908
Zookeeper,0,0.1186,0.1512,0.078,0,0.1483,0.1888,0.0951,,Zookeeper,0.1199,0.083,0.0732,0.1348,0.1519,0.1206
MTO,,,,,,,,,,OTO,,,,,,
