IR,MCC,,,,F1,,,,,IR,MCC,,,,F1,,,,,
,MAT,NLP,TM,CNN,MAT,NLP,TM,CNN,,,MAT,NLP,TM,CNN,MAT,NLP,TM,CNN,,
1,0.7393,0.5112,0.4147,0.7592,0.7425,0.4985,0.3735,0.8747,,1,0.7242,0.4552,0.2948,0.6455,0.7251,0.4461,0.262,0.8142,,0.6455
2,0.7393,0.5659,0.5587,0.7776,0.7425,0.5585,0.5445,0.8458,,2,0.7242,0.5217,0.3382,0.6651,0.7251,0.5388,0.3189,0.7469,,0.6651
3,0.7393,0.5553,0.6141,0.7769,0.7425,0.5675,0.609,0.8251,,3,0.7242,0.5611,0.3624,0.6682,0.7251,0.5776,0.3583,0.7239,,0.6682
4,0.7393,0.5876,0.646,0.7597,0.7425,0.599,0.6575,0.7999,,4,0.7242,0.5708,0.3849,0.6716,0.7251,0.5871,0.3897,0.7106,,0.6716
5,0.7393,0.5953,0.6523,0.7407,0.7425,0.611,0.6795,0.7792,,5,0.7242,0.5826,0.3956,0.6682,0.7251,0.5966,0.401,0.6939,,0.6682
6,0.7393,0.6032,0.6589,0.7496,0.7425,0.6215,0.674,0.7786,,6,0.7242,0.5803,0.363,0.6592,0.7251,0.5918,0.3748,0.6784,,0.6592
7,0.7393,0.5944,0.6674,0.7556,0.7425,0.612,0.6825,0.7805,,7,0.7242,0.5848,0.3717,0.6632,0.7251,0.5956,0.382,0.6761,,0.6632
8,0.7393,0.6016,0.6464,0.7556,0.7425,0.6225,0.668,0.7755,,8,0.7242,0.591,0.3855,0.6698,0.7251,0.604,0.3958,0.6809,,0.6698
9,0.7393,0.598,0.6649,0.753,0.7425,0.617,0.6715,0.7714,,9,0.7242,0.5964,0.3797,0.648,0.7251,0.6092,0.4001,0.6586,,0.648
10,0.7393,0.6195,0.6708,0.725,0.7425,0.6365,0.6775,0.745,,10,0.7242,0.5968,0.3898,0.6485,0.7251,0.6097,0.4097,0.6574,,0.6485
11,0.7393,0.606,0.677,0.7434,0.7425,0.638,0.686,0.7646,,11,0.7242,0.598,0.3922,0.6475,0.7251,0.6128,0.4044,0.6513,,0.6475
12,0.7393,0.5985,0.662,0.7374,0.7425,0.6235,0.672,0.751,,12,0.7242,0.5969,0.3911,0.6467,0.7251,0.6124,0.4123,0.6463,,0.6467
13,0.7393,0.595,0.6765,0.7192,0.7425,0.625,0.687,0.7363,,13,0.7242,0.6005,0.4096,0.6393,0.7251,0.6164,0.4202,0.638,,0.6393
14,0.7393,0.5945,0.6736,0.7173,0.7425,0.6305,0.6825,0.7361,,14,0.7242,0.5996,0.3962,0.6299,0.7251,0.6157,0.4112,0.6303,,0.6299
15,0.7393,0.6232,0.6825,0.7102,0.7425,0.6485,0.6905,0.7262,,15,0.7242,0.5925,0.4094,0.6258,0.7251,0.6069,0.4256,0.6236,,0.6258
16,0.7393,0.6022,0.6734,0.7174,0.7425,0.6325,0.68,0.7306,,16,0.7242,0.589,0.3943,0.6186,0.7251,0.6056,0.4088,0.6116,,0.6186
17,0.7393,0.602,0.6748,0.7211,0.7425,0.6315,0.682,0.7383,,17,0.7242,0.5944,0.4066,0.6192,0.7251,0.6093,0.4233,0.6186,,0.6192
18,0.7393,0.6105,0.6677,0.7323,0.7425,0.6385,0.677,0.7344,,18,0.7242,0.5965,0.4161,0.6289,0.7251,0.6112,0.4306,0.628,,0.6289
19,0.7393,0.6198,0.6712,0.7004,0.7425,0.6425,0.681,0.7173,,19,0.7242,0.5948,0.4071,0.6133,0.7251,0.6089,0.4243,0.609,,0.6133
20,0.7393,0.6121,0.6708,0.6853,0.7425,0.6395,0.677,0.7059,,20,0.7242,0.5847,0.4164,0.5955,0.7251,0.5988,0.4295,0.5918,,0.5955
MTO,,,,,,,,,,OTO,,,,,,,,,,
