Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 469, 149, 2394, 12021, 0.164, 0.759, 0.269, 0.749, 2.985
ArgoUML, 458, 160, 396, 14019, 0.536, 0.741, 0.622, 0.923, 12.046
Columba, 556, 62, 1075, 13340, 0.341, 0.900, 0.494, 0.879, 7.292
EMF, 507, 111, 2155, 12260, 0.190, 0.820, 0.309, 0.784, 3.633
Hibernate, 506, 112, 1196, 13219, 0.297, 0.819, 0.436, 0.862, 6.232
JEdit, 465, 153, 3445, 10970, 0.119, 0.752, 0.205, 0.654, 1.893
JFreeChart, 577, 41, 2039, 12376, 0.221, 0.934, 0.357, 0.814, 4.365
JMeter, 492, 126, 848, 13567, 0.367, 0.796, 0.503, 0.888, 7.931
JRuby, 552, 66, 620, 13795, 0.471, 0.893, 0.617, 0.913, 10.457
SQuirrel, 522, 96, 1162, 13253, 0.310, 0.845, 0.454, 0.867, 6.540
Dubbo, 549, 69, 1159, 13256, 0.321, 0.888, 0.472, 0.872, 6.819
Gradle, 487, 131, 626, 13789, 0.438, 0.788, 0.563, 0.906, 9.644
Groovy, 512, 106, 744, 13671, 0.408, 0.828, 0.546, 0.899, 8.916
Hive, 575, 43, 792, 13623, 0.421, 0.930, 0.579, 0.902, 9.232
Maven, 516, 102, 1541, 12874, 0.251, 0.835, 0.386, 0.836, 5.102
SpringFramework, 565, 53, 1186, 13229, 0.323, 0.914, 0.477, 0.873, 6.849
Storm, 551, 67, 1774, 12641, 0.237, 0.892, 0.374, 0.827, 4.765
Tomcat, 579, 39, 1120, 13295, 0.341, 0.937, 0.500, 0.879, 7.290
Zookeeper, 526, 92, 1874, 12541, 0.219, 0.851, 0.349, 0.812, 4.331
