Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 74, 18, 884, 2663, 0.077, 0.804, 0.141, 0.673, 2.055
ArgoUML, 59, 33, 167, 3380, 0.261, 0.641, 0.371, 0.903, 9.326
Columba, 72, 20, 451, 3096, 0.138, 0.783, 0.234, 0.816, 4.445
EMF, 72, 20, 738, 2809, 0.089, 0.783, 0.160, 0.716, 2.516
Hibernate, 73, 19, 484, 3063, 0.131, 0.793, 0.225, 0.807, 4.184
JEdit, 70, 22, 1055, 2492, 0.062, 0.761, 0.115, 0.594, 1.461
JFreeChart, 75, 17, 662, 2885, 0.102, 0.815, 0.181, 0.752, 3.025
JMeter, 63, 29, 345, 3202, 0.154, 0.685, 0.252, 0.836, 5.108
JRuby, 68, 24, 252, 3295, 0.213, 0.739, 0.330, 0.881, 7.405
SQuirrel, 72, 20, 424, 3123, 0.145, 0.783, 0.245, 0.826, 4.742
Dubbo, 68, 24, 362, 3185, 0.158, 0.739, 0.261, 0.840, 5.255
Gradle, 60, 32, 205, 3342, 0.226, 0.652, 0.336, 0.888, 7.956
Groovy, 69, 23, 279, 3268, 0.198, 0.750, 0.314, 0.872, 6.843
Hive, 70, 22, 234, 3313, 0.230, 0.761, 0.354, 0.890, 8.108
Maven, 69, 23, 585, 2962, 0.106, 0.750, 0.185, 0.760, 3.173
Poi, 67, 25, 253, 3294, 0.209, 0.728, 0.325, 0.879, 7.282
SpringFramework, 72, 20, 473, 3074, 0.132, 0.783, 0.226, 0.809, 4.226
Tomcat, 70, 22, 358, 3189, 0.164, 0.761, 0.269, 0.845, 5.469
Zookeeper, 73, 19, 513, 3034, 0.125, 0.793, 0.215, 0.797, 3.927
