Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 250, 36, 3406, 8525, 0.068, 0.874, 0.127, 0.658, 1.921
ArgoUML, 219, 67, 3975, 7956, 0.052, 0.766, 0.098, 0.552, 1.231
Columba, 239, 47, 3758, 8173, 0.060, 0.836, 0.112, 0.608, 1.554
EMF, 214, 72, 2281, 9650, 0.086, 0.748, 0.154, 0.727, 2.664
Hibernate, 211, 75, 2312, 9619, 0.084, 0.738, 0.150, 0.720, 2.572
JEdit, 246, 40, 5063, 6868, 0.046, 0.860, 0.088, 0.495, 0.979
JFreeChart, 229, 57, 2831, 9100, 0.075, 0.801, 0.137, 0.687, 2.197
JMeter, 217, 69, 3105, 8826, 0.065, 0.759, 0.120, 0.642, 1.790
JRuby, 246, 40, 3149, 8782, 0.072, 0.860, 0.134, 0.677, 2.095
SQuirrel, 207, 79, 2877, 9054, 0.067, 0.724, 0.123, 0.651, 1.867
Dubbo, 221, 65, 3655, 8276, 0.057, 0.773, 0.106, 0.589, 1.436
Gradle, 207, 79, 2543, 9388, 0.075, 0.724, 0.136, 0.689, 2.215
Groovy, 231, 55, 3349, 8582, 0.065, 0.808, 0.120, 0.637, 1.756
Hive, 232, 54, 2763, 9168, 0.077, 0.811, 0.141, 0.698, 2.309
Maven, 232, 54, 3509, 8422, 0.062, 0.811, 0.115, 0.623, 1.649
Poi, 253, 33, 3562, 8369, 0.066, 0.885, 0.123, 0.647, 1.833
SpringFramework, 227, 59, 3840, 8091, 0.056, 0.794, 0.104, 0.581, 1.384
Storm, 227, 59, 2677, 9254, 0.078, 0.794, 0.142, 0.701, 2.339
Tomcat, 252, 34, 3112, 8819, 0.075, 0.881, 0.138, 0.687, 2.200
Zookeeper, 262, 24, 2805, 9126, 0.085, 0.916, 0.156, 0.726, 2.649
