Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 52, 76, 21, 3941, 0.712, 0.406, 0.517, 0.956, 21.761
ArgoUML, 78, 50, 17, 3945, 0.821, 0.609, 0.700, 0.962, 25.235
EMF, 85, 43, 19, 3943, 0.817, 0.664, 0.733, 0.962, 25.116
Hibernate, 98, 30, 46, 3916, 0.681, 0.766, 0.721, 0.954, 20.746
JEdit, 63, 65, 61, 3901, 0.508, 0.492, 0.500, 0.938, 15.234
JFreeChart, 103, 25, 33, 3929, 0.757, 0.805, 0.780, 0.959, 23.200
JMeter, 87, 41, 15, 3947, 0.853, 0.680, 0.757, 0.963, 26.254
JRuby, 107, 21, 10, 3952, 0.915, 0.836, 0.873, 0.966, 28.222
SQuirrel, 92, 36, 15, 3947, 0.860, 0.719, 0.783, 0.964, 26.474
Dubbo, 58, 70, 8, 3954, 0.879, 0.453, 0.598, 0.964, 27.080
Gradle, 57, 71, 5, 3957, 0.919, 0.445, 0.600, 0.966, 28.376
Groovy, 89, 39, 17, 3945, 0.840, 0.695, 0.761, 0.963, 25.829
Hive, 93, 35, 16, 3946, 0.853, 0.727, 0.785, 0.963, 26.263
Maven, 79, 49, 22, 3940, 0.782, 0.617, 0.690, 0.960, 23.993
Poi, 106, 22, 26, 3936, 0.803, 0.828, 0.815, 0.961, 24.659
SpringFramework, 97, 31, 14, 3948, 0.874, 0.758, 0.812, 0.964, 26.923
Storm, 87, 41, 16, 3946, 0.845, 0.680, 0.753, 0.963, 25.990
Tomcat, 87, 41, 22, 3940, 0.798, 0.680, 0.734, 0.961, 24.504
Zookeeper, 78, 50, 10, 3952, 0.886, 0.609, 0.722, 0.965, 27.322
