Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 127, 122, 118, 4068, 0.518, 0.510, 0.514, 0.892, 8.233
ArgoUML, 161, 88, 141, 4045, 0.533, 0.647, 0.584, 0.895, 8.495
Columba, 197, 52, 85, 4101, 0.699, 0.791, 0.742, 0.920, 11.443
EMF, 170, 79, 93, 4093, 0.646, 0.683, 0.664, 0.913, 10.513
Hibernate, 193, 56, 109, 4077, 0.639, 0.775, 0.701, 0.912, 10.383
JEdit, 144, 105, 215, 3971, 0.401, 0.578, 0.474, 0.860, 6.144
JFreeChart, 192, 57, 166, 4020, 0.536, 0.771, 0.633, 0.895, 8.552
JMeter, 192, 57, 82, 4104, 0.701, 0.771, 0.734, 0.920, 11.481
JRuby, 202, 47, 96, 4090, 0.678, 0.811, 0.739, 0.917, 11.073
SQuirrel, 196, 53, 128, 4058, 0.605, 0.787, 0.684, 0.907, 9.775
Dubbo, 129, 120, 70, 4116, 0.648, 0.518, 0.576, 0.913, 10.546
Gradle, 133, 116, 68, 4118, 0.662, 0.534, 0.591, 0.915, 10.786
Hive, 195, 54, 104, 4082, 0.652, 0.783, 0.712, 0.914, 10.616
Maven, 141, 108, 132, 4054, 0.516, 0.566, 0.540, 0.891, 8.199
Poi, 195, 54, 98, 4088, 0.666, 0.783, 0.720, 0.916, 10.854
SpringFramework, 187, 62, 99, 4087, 0.654, 0.751, 0.699, 0.914, 10.646
Storm, 189, 60, 95, 4091, 0.665, 0.759, 0.709, 0.916, 10.853
Tomcat, 181, 68, 99, 4087, 0.646, 0.727, 0.684, 0.913, 10.514
Zookeeper, 164, 85, 110, 4076, 0.599, 0.659, 0.627, 0.906, 9.661
