Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 33, 40, 90, 2421, 0.268, 0.452, 0.337, 0.895, 8.497
ArgoUML, 52, 21, 371, 2140, 0.123, 0.712, 0.210, 0.770, 3.351
Columba, 38, 35, 266, 2245, 0.125, 0.521, 0.202, 0.774, 3.425
EMF, 61, 12, 77, 2434, 0.442, 0.836, 0.578, 0.936, 14.647
Hibernate, 39, 34, 285, 2226, 0.120, 0.534, 0.196, 0.765, 3.261
JEdit, 41, 32, 283, 2228, 0.127, 0.562, 0.207, 0.777, 3.479
JFreeChart, 33, 40, 227, 2284, 0.127, 0.452, 0.198, 0.777, 3.493
JMeter, 33, 40, 109, 2402, 0.232, 0.452, 0.307, 0.878, 7.226
JRuby, 37, 36, 134, 2377, 0.216, 0.507, 0.303, 0.869, 6.659
SQuirrel, 39, 34, 198, 2313, 0.165, 0.534, 0.252, 0.828, 4.825
Dubbo, 13, 60, 190, 2321, 0.064, 0.178, 0.094, 0.559, 1.267
Gradle, 12, 61, 46, 2465, 0.207, 0.164, 0.183, 0.863, 6.324
Groovy, 16, 57, 115, 2396, 0.122, 0.219, 0.157, 0.769, 3.323
Hive, 41, 32, 225, 2286, 0.154, 0.562, 0.242, 0.817, 4.456
Maven, 14, 59, 193, 2318, 0.068, 0.192, 0.100, 0.582, 1.394
Poi, 37, 36, 154, 2357, 0.194, 0.507, 0.280, 0.854, 5.857
SpringFramework, 37, 36, 184, 2327, 0.167, 0.507, 0.252, 0.831, 4.926
Storm, 34, 39, 234, 2277, 0.127, 0.466, 0.199, 0.777, 3.491
Tomcat, 38, 35, 175, 2336, 0.178, 0.521, 0.266, 0.842, 5.315
Zookeeper, 31, 42, 182, 2329, 0.146, 0.425, 0.217, 0.806, 4.152
