Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 193, 55, 237, 3949, 0.449, 0.778, 0.569, 0.875, 7.025
ArgoUML, 165, 83, 568, 3618, 0.225, 0.665, 0.336, 0.752, 3.025
Columba, 196, 52, 623, 3563, 0.239, 0.790, 0.367, 0.766, 3.279
EMF, 188, 60, 309, 3877, 0.378, 0.758, 0.505, 0.852, 5.763
Hibernate, 200, 48, 318, 3868, 0.386, 0.806, 0.522, 0.855, 5.903
JEdit, 212, 36, 360, 3826, 0.371, 0.855, 0.517, 0.849, 5.626
JFreeChart, 182, 66, 350, 3836, 0.342, 0.734, 0.467, 0.837, 5.117
JMeter, 197, 51, 363, 3823, 0.352, 0.794, 0.488, 0.841, 5.290
JRuby, 188, 60, 313, 3873, 0.375, 0.758, 0.502, 0.851, 5.709
SQuirrel, 201, 47, 318, 3868, 0.387, 0.810, 0.524, 0.856, 5.924
Dubbo, 124, 124, 317, 3869, 0.281, 0.500, 0.360, 0.801, 4.027
Gradle, 46, 202, 148, 4038, 0.237, 0.185, 0.208, 0.764, 3.239
Groovy, 192, 56, 114, 4072, 0.627, 0.774, 0.693, 0.911, 10.218
Hive, 185, 63, 300, 3886, 0.381, 0.746, 0.505, 0.853, 5.820
Maven, 77, 171, 388, 3798, 0.166, 0.310, 0.216, 0.662, 1.961
Poi, 167, 81, 365, 3821, 0.314, 0.673, 0.428, 0.822, 4.612
SpringFramework, 146, 102, 366, 3820, 0.285, 0.589, 0.384, 0.804, 4.098
Storm, 191, 57, 407, 3779, 0.319, 0.770, 0.452, 0.825, 4.711
Tomcat, 183, 65, 285, 3901, 0.391, 0.738, 0.511, 0.857, 5.991
Zookeeper, 167, 81, 516, 3670, 0.245, 0.673, 0.359, 0.771, 3.372
