Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 30, 54, 66, 1498, 0.312, 0.357, 0.333, 0.837, 5.131
ArgoUML, 57, 27, 185, 1379, 0.236, 0.679, 0.350, 0.784, 3.621
Columba, 64, 20, 129, 1435, 0.332, 0.762, 0.462, 0.846, 5.506
EMF, 45, 39, 89, 1475, 0.336, 0.536, 0.413, 0.848, 5.588
Hibernate, 65, 19, 149, 1415, 0.304, 0.774, 0.436, 0.832, 4.959
JEdit, 53, 31, 139, 1425, 0.276, 0.631, 0.384, 0.815, 4.416
JFreeChart, 41, 43, 87, 1477, 0.320, 0.488, 0.387, 0.841, 5.284
JMeter, 63, 21, 54, 1510, 0.538, 0.750, 0.627, 0.905, 9.564
JRuby, 47, 37, 74, 1490, 0.388, 0.560, 0.459, 0.869, 6.621
SQuirrel, 43, 41, 114, 1450, 0.274, 0.512, 0.357, 0.814, 4.373
Dubbo, 58, 26, 36, 1528, 0.617, 0.690, 0.652, 0.917, 11.105
Gradle, 11, 73, 45, 1519, 0.196, 0.131, 0.157, 0.741, 2.854
Groovy, 52, 32, 59, 1505, 0.468, 0.619, 0.533, 0.891, 8.191
Hive, 64, 20, 81, 1483, 0.441, 0.762, 0.559, 0.885, 7.659
Maven, 42, 42, 106, 1458, 0.284, 0.500, 0.362, 0.820, 4.568
Poi, 65, 19, 91, 1473, 0.417, 0.774, 0.542, 0.878, 7.175
SpringFramework, 59, 25, 72, 1492, 0.450, 0.702, 0.549, 0.887, 7.836
Storm, 60, 24, 156, 1408, 0.278, 0.714, 0.400, 0.817, 4.450
Tomcat, 58, 26, 96, 1468, 0.377, 0.690, 0.487, 0.865, 6.389
Zookeeper, 51, 33, 70, 1494, 0.421, 0.607, 0.498, 0.879, 7.269
