Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 152, 129, 119, 3747, 0.561, 0.541, 0.551, 0.879, 7.278
ArgoUML, 190, 91, 453, 3413, 0.295, 0.676, 0.411, 0.771, 3.361
Columba, 210, 71, 266, 3600, 0.441, 0.747, 0.555, 0.846, 5.511
EMF, 220, 61, 294, 3572, 0.428, 0.783, 0.553, 0.842, 5.317
Hibernate, 216, 65, 254, 3612, 0.460, 0.769, 0.575, 0.853, 5.782
JEdit, 235, 46, 331, 3535, 0.415, 0.836, 0.555, 0.837, 5.127
JFreeChart, 208, 73, 347, 3519, 0.375, 0.740, 0.498, 0.819, 4.531
JMeter, 236, 45, 46, 3820, 0.837, 0.840, 0.838, 0.919, 11.351
JRuby, 197, 84, 217, 3649, 0.476, 0.701, 0.567, 0.858, 6.023
SQuirrel, 220, 61, 220, 3646, 0.500, 0.783, 0.610, 0.864, 6.379
Dubbo, 64, 217, 237, 3629, 0.213, 0.228, 0.220, 0.681, 2.138
Gradle, 74, 207, 134, 3732, 0.356, 0.263, 0.303, 0.810, 4.250
Groovy, 124, 157, 133, 3733, 0.482, 0.441, 0.461, 0.860, 6.121
Hive, 208, 73, 197, 3669, 0.514, 0.740, 0.606, 0.868, 6.579
Maven, 80, 201, 206, 3660, 0.280, 0.285, 0.282, 0.758, 3.128
Poi, 189, 92, 194, 3672, 0.493, 0.673, 0.569, 0.863, 6.283
SpringFramework, 205, 76, 198, 3668, 0.509, 0.730, 0.599, 0.867, 6.507
Storm, 180, 101, 355, 3511, 0.336, 0.641, 0.441, 0.799, 3.965
Tomcat, 201, 80, 162, 3704, 0.554, 0.715, 0.624, 0.878, 7.172
Zookeeper, 97, 184, 165, 3701, 0.370, 0.345, 0.357, 0.817, 4.464
