TP, FN, FP, TN, P    , R    , F1   , ER   , RI
41, 60, 27, 2923, 0.603, 0.406, 0.485, 0.945, 17.214
765, 203, 179, 4278, 0.810, 0.790, 0.800, 0.780, 3.542
106, 21, 17, 3945, 0.862, 0.835, 0.848, 0.964, 26.747
33, 40, 13, 2498, 0.717, 0.452, 0.555, 0.961, 24.394
260, 116, 29, 2086, 0.900, 0.691, 0.782, 0.832, 4.960
62, 132, 18, 4431, 0.775, 0.320, 0.453, 0.946, 17.548
77, 23, 44, 2349, 0.636, 0.770, 0.697, 0.937, 14.865
212, 69, 27, 3839, 0.887, 0.754, 0.815, 0.924, 12.091
326, 56, 47, 3222, 0.874, 0.853, 0.864, 0.880, 7.353
114, 86, 27, 4245, 0.809, 0.570, 0.669, 0.945, 17.078
60, 24, 24, 1540, 0.714, 0.714, 0.714, 0.929, 13.014
215, 105, 122, 2881, 0.638, 0.672, 0.654, 0.849, 5.625
192, 56, 95, 4091, 0.669, 0.774, 0.718, 0.916, 10.961
738, 307, 326, 27968, 0.694, 0.706, 0.700, 0.949, 18.473
89, 46, 39, 1044, 0.695, 0.659, 0.677, 0.841, 5.273
525, 92, 166, 14249, 0.760, 0.851, 0.803, 0.946, 17.510
69, 28, 58, 7556, 0.543, 0.711, 0.616, 0.977, 42.190
56, 35, 21, 3526, 0.727, 0.615, 0.667, 0.966, 28.075
180, 106, 114, 11817, 0.612, 0.629, 0.621, 0.962, 25.153
28, 34, 19, 2609, 0.596, 0.452, 0.514, 0.961, 24.848
