Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 17, 57, 15, 2496, 0.531, 0.230, 0.321, 0.946, 17.558
ArgoUML, 22, 52, 35, 2476, 0.386, 0.297, 0.336, 0.926, 12.483
Columba, 24, 50, 7, 2504, 0.774, 0.324, 0.457, 0.963, 26.044
Hibernate, 24, 50, 48, 2463, 0.333, 0.324, 0.329, 0.914, 10.644
JEdit, 27, 47, 73, 2438, 0.270, 0.365, 0.310, 0.894, 8.432
JFreeChart, 29, 45, 62, 2449, 0.319, 0.392, 0.352, 0.910, 10.132
JMeter, 27, 47, 5, 2506, 0.844, 0.365, 0.509, 0.966, 28.474
JRuby, 26, 48, 14, 2497, 0.650, 0.351, 0.456, 0.956, 21.706
SQuirrel, 26, 48, 24, 2487, 0.520, 0.351, 0.419, 0.945, 17.165
Dubbo, 19, 55, 10, 2501, 0.655, 0.257, 0.369, 0.956, 21.887
Gradle, 22, 52, 31, 2480, 0.415, 0.297, 0.346, 0.931, 13.500
Groovy, 18, 56, 6, 2505, 0.750, 0.243, 0.367, 0.962, 25.199
Hive, 24, 50, 18, 2493, 0.571, 0.324, 0.414, 0.950, 18.961
Maven, 20, 54, 46, 2465, 0.303, 0.270, 0.286, 0.906, 9.586
Poi, 23, 51, 10, 2501, 0.697, 0.311, 0.430, 0.959, 23.347
SpringFramework, 24, 50, 6, 2505, 0.800, 0.324, 0.462, 0.964, 26.946
Storm, 21, 53, 10, 2501, 0.677, 0.284, 0.400, 0.958, 22.664
Tomcat, 25, 49, 9, 2502, 0.735, 0.338, 0.463, 0.961, 24.686
Zookeeper, 21, 53, 13, 2498, 0.618, 0.284, 0.389, 0.954, 20.576
