Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 37, 61, 65, 7549, 0.363, 0.378, 0.370, 0.965, 27.546
ArgoUML, 50, 48, 104, 7510, 0.325, 0.510, 0.397, 0.961, 24.550
Columba, 65, 33, 27, 7587, 0.707, 0.663, 0.684, 0.982, 54.599
EMF, 55, 43, 68, 7546, 0.447, 0.561, 0.498, 0.972, 34.188
Hibernate, 64, 34, 84, 7530, 0.432, 0.653, 0.520, 0.971, 33.030
JEdit, 26, 72, 178, 7436, 0.127, 0.265, 0.172, 0.900, 9.030
JFreeChart, 56, 42, 177, 7437, 0.240, 0.571, 0.338, 0.947, 17.914
JMeter, 60, 38, 40, 7574, 0.600, 0.612, 0.606, 0.979, 46.216
JRuby, 66, 32, 43, 7571, 0.606, 0.673, 0.638, 0.979, 46.650
SQuirrel, 68, 30, 93, 7521, 0.422, 0.694, 0.525, 0.970, 32.237
Dubbo, 37, 61, 37, 7577, 0.500, 0.378, 0.430, 0.975, 38.347
Gradle, 40, 58, 54, 7560, 0.426, 0.408, 0.417, 0.970, 32.487
Groovy, 60, 38, 34, 7580, 0.638, 0.612, 0.625, 0.980, 49.230
Hive, 68, 30, 62, 7552, 0.523, 0.694, 0.596, 0.976, 40.163
Maven, 43, 55, 142, 7472, 0.232, 0.439, 0.304, 0.945, 17.291
Poi, 69, 29, 43, 7571, 0.616, 0.704, 0.657, 0.979, 47.481
Storm, 66, 32, 42, 7572, 0.611, 0.673, 0.641, 0.979, 47.091
Tomcat, 60, 38, 66, 7548, 0.476, 0.612, 0.536, 0.973, 36.473
Zookeeper, 55, 43, 80, 7534, 0.407, 0.561, 0.472, 0.969, 31.060
