Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 86, 15, 77, 2873, 0.528, 0.851, 0.652, 0.937, 14.938
ArgoUML, 47, 54, 395, 2555, 0.106, 0.465, 0.173, 0.689, 2.212
Columba, 55, 46, 343, 2607, 0.138, 0.545, 0.220, 0.760, 3.174
EMF, 40, 61, 201, 2749, 0.166, 0.396, 0.234, 0.801, 4.014
Hibernate, 45, 56, 197, 2753, 0.186, 0.446, 0.262, 0.822, 4.617
JEdit, 57, 44, 340, 2610, 0.144, 0.564, 0.229, 0.769, 3.337
JFreeChart, 41, 60, 295, 2655, 0.122, 0.406, 0.188, 0.729, 2.686
JMeter, 39, 62, 178, 2772, 0.180, 0.386, 0.245, 0.816, 4.429
JRuby, 57, 44, 224, 2726, 0.203, 0.564, 0.298, 0.837, 5.128
SQuirrel, 48, 53, 239, 2711, 0.167, 0.475, 0.247, 0.802, 4.052
Dubbo, 22, 79, 171, 2779, 0.114, 0.218, 0.150, 0.710, 2.443
Gradle, 15, 86, 88, 2862, 0.146, 0.149, 0.147, 0.773, 3.399
Groovy, 21, 80, 102, 2848, 0.171, 0.208, 0.187, 0.806, 4.157
Hive, 62, 39, 177, 2773, 0.259, 0.614, 0.365, 0.872, 6.836
Maven, 25, 76, 196, 2754, 0.113, 0.248, 0.155, 0.707, 2.417
Poi, 48, 53, 144, 2806, 0.250, 0.475, 0.328, 0.868, 6.552
SpringFramework, 28, 73, 138, 2812, 0.169, 0.277, 0.210, 0.804, 4.095
Storm, 32, 69, 231, 2719, 0.122, 0.317, 0.176, 0.728, 2.675
Tomcat, 57, 44, 260, 2690, 0.180, 0.564, 0.273, 0.816, 4.432
Zookeeper, 60, 41, 186, 2764, 0.244, 0.594, 0.346, 0.864, 6.368
