Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 666, 302, 406, 4051, 0.621, 0.688, 0.653, 0.713, 2.482
ArgoUML, 782, 186, 329, 4128, 0.704, 0.808, 0.752, 0.746, 2.945
Columba, 708, 260, 481, 3976, 0.595, 0.731, 0.656, 0.700, 2.337
EMF, 891, 77, 398, 4059, 0.691, 0.920, 0.790, 0.742, 2.874
Hibernate, 728, 240, 397, 4060, 0.647, 0.752, 0.696, 0.724, 2.627
JEdit, 821, 147, 436, 4021, 0.653, 0.848, 0.738, 0.727, 2.660
JFreeChart, 773, 195, 412, 4045, 0.652, 0.799, 0.718, 0.726, 2.656
JMeter, 760, 208, 330, 4127, 0.697, 0.785, 0.739, 0.744, 2.908
JRuby, 701, 267, 391, 4066, 0.642, 0.724, 0.681, 0.722, 2.598
SQuirrel, 858, 110, 443, 4014, 0.659, 0.886, 0.756, 0.729, 2.696
Dubbo, 371, 597, 279, 4178, 0.571, 0.383, 0.459, 0.687, 2.199
Gradle, 198, 770, 141, 4316, 0.584, 0.205, 0.303, 0.695, 2.273
Groovy, 436, 532, 235, 4222, 0.650, 0.450, 0.532, 0.725, 2.642
Hive, 721, 247, 324, 4133, 0.690, 0.745, 0.716, 0.741, 2.867
Maven, 281, 687, 283, 4174, 0.498, 0.290, 0.367, 0.642, 1.792
Poi, 655, 313, 329, 4128, 0.666, 0.677, 0.671, 0.732, 2.731
SpringFramework, 620, 348, 303, 4154, 0.672, 0.640, 0.656, 0.734, 2.765
Storm, 826, 142, 458, 3999, 0.643, 0.853, 0.734, 0.723, 2.605
Tomcat, 696, 272, 384, 4073, 0.644, 0.719, 0.680, 0.723, 2.612
Zookeeper, 550, 418, 324, 4133, 0.629, 0.568, 0.597, 0.716, 2.527
