Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 95, 32, 160, 3802, 0.373, 0.748, 0.497, 0.917, 10.995
ArgoUML, 104, 23, 317, 3645, 0.247, 0.819, 0.380, 0.874, 6.954
Columba, 120, 7, 139, 3823, 0.463, 0.945, 0.622, 0.933, 13.917
EMF, 100, 27, 153, 3809, 0.395, 0.787, 0.526, 0.921, 11.726
Hibernate, 102, 25, 132, 3830, 0.436, 0.803, 0.565, 0.929, 13.035
JEdit, 103, 24, 209, 3753, 0.330, 0.811, 0.469, 0.906, 9.629
JFreeChart, 94, 33, 186, 3776, 0.336, 0.740, 0.462, 0.907, 9.809
JMeter, 101, 26, 77, 3885, 0.567, 0.795, 0.662, 0.945, 17.269
JRuby, 101, 26, 181, 3781, 0.358, 0.795, 0.494, 0.913, 10.531
SQuirrel, 105, 22, 142, 3820, 0.425, 0.827, 0.561, 0.927, 12.687
Dubbo, 73, 54, 118, 3844, 0.382, 0.575, 0.459, 0.919, 11.306
Gradle, 18, 109, 73, 3889, 0.198, 0.142, 0.165, 0.843, 5.369
Groovy, 62, 65, 68, 3894, 0.477, 0.488, 0.482, 0.935, 14.355
Hive, 109, 18, 116, 3846, 0.484, 0.858, 0.619, 0.936, 14.598
Maven, 77, 50, 145, 3817, 0.347, 0.606, 0.441, 0.910, 10.167
Poi, 101, 26, 166, 3796, 0.378, 0.795, 0.513, 0.918, 11.179
SpringFramework, 94, 33, 75, 3887, 0.556, 0.740, 0.635, 0.944, 16.908
Storm, 104, 23, 170, 3792, 0.380, 0.819, 0.519, 0.918, 11.221
Tomcat, 104, 23, 141, 3821, 0.424, 0.819, 0.559, 0.927, 12.667
Zookeeper, 93, 34, 150, 3812, 0.383, 0.732, 0.503, 0.919, 11.322
