Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 428, 189, 730, 13685, 0.370, 0.694, 0.482, 0.889, 8.005
ArgoUML, 427, 190, 1707, 12708, 0.200, 0.692, 0.310, 0.795, 3.875
Columba, 469, 148, 1349, 13066, 0.258, 0.760, 0.385, 0.841, 5.285
EMF, 464, 153, 1328, 13087, 0.259, 0.752, 0.385, 0.841, 5.308
Hibernate, 474, 143, 1192, 13223, 0.285, 0.768, 0.415, 0.856, 5.932
JEdit, 450, 167, 1350, 13065, 0.250, 0.729, 0.372, 0.836, 5.091
JFreeChart, 440, 177, 1308, 13107, 0.252, 0.713, 0.372, 0.837, 5.133
JMeter, 497, 120, 1219, 13196, 0.290, 0.806, 0.426, 0.858, 6.056
JRuby, 462, 155, 1088, 13327, 0.298, 0.749, 0.426, 0.862, 6.262
SQuirrel, 491, 126, 1524, 12891, 0.244, 0.796, 0.373, 0.832, 4.937
Dubbo, 334, 283, 860, 13555, 0.280, 0.541, 0.369, 0.853, 5.815
Gradle, 123, 494, 436, 13979, 0.220, 0.199, 0.209, 0.813, 4.361
Groovy, 352, 265, 593, 13822, 0.372, 0.571, 0.451, 0.890, 8.075
Hive, 483, 134, 874, 13541, 0.356, 0.783, 0.489, 0.885, 7.672
Maven, 249, 368, 1353, 13062, 0.155, 0.404, 0.224, 0.736, 2.787
Poi, 542, 75, 416, 13999, 0.566, 0.878, 0.688, 0.927, 12.784
SpringFramework, 464, 153, 691, 13724, 0.402, 0.752, 0.524, 0.898, 8.787
Storm, 507, 110, 1256, 13159, 0.288, 0.822, 0.426, 0.857, 6.006
Tomcat, 473, 144, 694, 13721, 0.405, 0.767, 0.530, 0.899, 8.875
Zookeeper, 439, 178, 790, 13625, 0.357, 0.712, 0.476, 0.885, 7.703
