Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 57, 137, 116, 4333, 0.329, 0.294, 0.311, 0.873, 6.885
ArgoUML, 108, 86, 320, 4129, 0.252, 0.557, 0.347, 0.834, 5.039
Columba, 84, 110, 261, 4188, 0.243, 0.433, 0.312, 0.828, 4.827
EMF, 68, 126, 257, 4192, 0.209, 0.351, 0.262, 0.800, 4.008
Hibernate, 87, 107, 179, 4270, 0.327, 0.448, 0.378, 0.872, 6.828
JEdit, 152, 42, 113, 4336, 0.574, 0.784, 0.662, 0.927, 12.728
JFreeChart, 83, 111, 197, 4252, 0.296, 0.428, 0.350, 0.859, 6.094
JMeter, 64, 130, 120, 4329, 0.348, 0.330, 0.339, 0.880, 7.325
JRuby, 97, 97, 134, 4315, 0.420, 0.500, 0.456, 0.900, 9.050
SQuirrel, 87, 107, 153, 4296, 0.362, 0.448, 0.401, 0.885, 7.676
Dubbo, 56, 138, 180, 4269, 0.237, 0.289, 0.260, 0.824, 4.679
Gradle, 39, 155, 56, 4393, 0.411, 0.201, 0.270, 0.898, 8.825
Groovy, 47, 147, 97, 4352, 0.326, 0.242, 0.278, 0.872, 6.811
Hive, 92, 102, 120, 4329, 0.434, 0.474, 0.453, 0.904, 9.386
Maven, 51, 143, 173, 4276, 0.228, 0.263, 0.244, 0.816, 4.449
Poi, 73, 121, 152, 4297, 0.324, 0.376, 0.348, 0.871, 6.765
SpringFramework, 67, 127, 156, 4293, 0.300, 0.345, 0.321, 0.861, 6.191
Storm, 78, 116, 188, 4261, 0.293, 0.402, 0.339, 0.858, 6.018
Tomcat, 90, 104, 144, 4305, 0.385, 0.464, 0.421, 0.891, 8.205
Zookeeper, 69, 125, 184, 4265, 0.273, 0.356, 0.309, 0.847, 5.527
