Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 64, 33, 317, 7297, 0.168, 0.660, 0.268, 0.925, 12.353
ArgoUML, 51, 46, 1167, 6447, 0.042, 0.526, 0.078, 0.700, 2.329
Columba, 66, 31, 1003, 6611, 0.062, 0.680, 0.113, 0.796, 3.908
EMF, 65, 32, 631, 6983, 0.093, 0.670, 0.164, 0.865, 6.424
Hibernate, 70, 27, 424, 7190, 0.142, 0.722, 0.237, 0.911, 10.264
JEdit, 74, 23, 925, 6689, 0.074, 0.763, 0.135, 0.830, 4.889
JFreeChart, 61, 36, 647, 6967, 0.086, 0.629, 0.152, 0.854, 5.849
JMeter, 59, 38, 363, 7251, 0.140, 0.608, 0.227, 0.910, 10.114
JRuby, 63, 34, 453, 7161, 0.122, 0.649, 0.206, 0.897, 8.706
SQuirrel, 65, 32, 668, 6946, 0.089, 0.670, 0.157, 0.858, 6.049
Dubbo, 28, 69, 477, 7137, 0.055, 0.289, 0.093, 0.773, 3.408
Gradle, 17, 80, 204, 7410, 0.077, 0.175, 0.107, 0.836, 5.115
Groovy, 37, 60, 349, 7265, 0.096, 0.381, 0.153, 0.869, 6.620
Hive, 60, 37, 281, 7333, 0.176, 0.619, 0.274, 0.929, 12.987
Maven, 35, 62, 622, 6992, 0.053, 0.361, 0.093, 0.764, 3.235
Poi, 64, 33, 597, 7017, 0.097, 0.660, 0.169, 0.870, 6.697
SpringFramework, 80, 17, 255, 7359, 0.239, 0.825, 0.370, 0.947, 17.984
Storm, 73, 24, 688, 6926, 0.096, 0.753, 0.170, 0.869, 6.626
Tomcat, 61, 36, 347, 7267, 0.150, 0.629, 0.242, 0.916, 10.885
Zookeeper, 64, 33, 534, 7080, 0.107, 0.660, 0.184, 0.882, 7.508
