Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 116, 171, 138, 11793, 0.457, 0.404, 0.429, 0.949, 18.442
ArgoUML, 138, 149, 192, 11739, 0.418, 0.481, 0.447, 0.944, 16.803
Columba, 157, 130, 86, 11845, 0.646, 0.547, 0.592, 0.964, 26.505
EMF, 111, 176, 126, 11805, 0.468, 0.387, 0.424, 0.950, 18.939
Hibernate, 140, 147, 215, 11716, 0.394, 0.488, 0.436, 0.940, 15.789
JEdit, 95, 192, 291, 11640, 0.246, 0.331, 0.282, 0.905, 9.477
JFreeChart, 153, 134, 239, 11692, 0.390, 0.533, 0.451, 0.940, 15.616
JMeter, 135, 152, 98, 11833, 0.579, 0.470, 0.519, 0.959, 23.666
JRuby, 184, 103, 111, 11820, 0.624, 0.641, 0.632, 0.962, 25.553
SQuirrel, 133, 154, 115, 11816, 0.536, 0.463, 0.497, 0.956, 21.831
Dubbo, 101, 186, 116, 11815, 0.465, 0.352, 0.401, 0.950, 18.814
Gradle, 95, 192, 107, 11824, 0.470, 0.331, 0.389, 0.950, 19.021
Groovy, 87, 200, 73, 11858, 0.544, 0.303, 0.389, 0.957, 22.148
Hive, 183, 104, 136, 11795, 0.574, 0.638, 0.604, 0.959, 23.422
Maven, 127, 160, 243, 11688, 0.343, 0.443, 0.387, 0.932, 13.612
Poi, 183, 104, 98, 11833, 0.651, 0.638, 0.644, 0.964, 26.724
SpringFramework, 120, 167, 78, 11853, 0.606, 0.418, 0.495, 0.961, 24.801
Storm, 130, 157, 78, 11853, 0.625, 0.453, 0.525, 0.962, 25.607
Zookeeper, 112, 175, 136, 11795, 0.452, 0.390, 0.419, 0.948, 18.226
