Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 120, 200, 209, 2794, 0.365, 0.375, 0.370, 0.736, 2.788
ArgoUML, 224, 96, 603, 2400, 0.271, 0.700, 0.391, 0.644, 1.813
Columba, 217, 103, 472, 2531, 0.315, 0.678, 0.430, 0.694, 2.271
EMF, 225, 95, 400, 2603, 0.360, 0.703, 0.476, 0.733, 2.738
Hibernate, 216, 104, 465, 2538, 0.317, 0.675, 0.432, 0.696, 2.294
JEdit, 246, 74, 390, 2613, 0.387, 0.769, 0.515, 0.751, 3.017
JFreeChart, 201, 119, 343, 2660, 0.369, 0.628, 0.465, 0.739, 2.837
JMeter, 199, 121, 308, 2695, 0.393, 0.622, 0.481, 0.755, 3.076
JRuby, 213, 107, 380, 2623, 0.359, 0.666, 0.467, 0.732, 2.730
SQuirrel, 224, 96, 351, 2652, 0.390, 0.700, 0.501, 0.753, 3.045
Dubbo, 89, 231, 270, 2733, 0.248, 0.278, 0.262, 0.612, 1.574
Gradle, 193, 127, 31, 2972, 0.862, 0.603, 0.710, 0.888, 7.947
Groovy, 143, 177, 237, 2766, 0.376, 0.447, 0.409, 0.744, 2.908
Hive, 196, 124, 244, 2759, 0.445, 0.612, 0.516, 0.784, 3.626
Maven, 89, 231, 287, 2716, 0.237, 0.278, 0.256, 0.593, 1.458
Poi, 177, 143, 305, 2698, 0.367, 0.553, 0.441, 0.738, 2.813
SpringFramework, 172, 148, 275, 2728, 0.385, 0.537, 0.449, 0.750, 2.996
Storm, 202, 118, 280, 2723, 0.419, 0.631, 0.504, 0.770, 3.352
Tomcat, 188, 132, 334, 2669, 0.360, 0.587, 0.447, 0.733, 2.740
Zookeeper, 133, 187, 411, 2592, 0.244, 0.416, 0.308, 0.606, 1.539
