Training project, TP, FN, FP, TN, P, R, F1, ER, RI
ArgoUML, 29, 73, 39, 2911, 0.426, 0.284, 0.341, 0.922, 11.761
Columba, 22, 80, 8, 2942, 0.733, 0.216, 0.333, 0.954, 20.942
EMF, 20, 82, 17, 2933, 0.541, 0.196, 0.288, 0.938, 15.174
Hibernate, 36, 66, 47, 2903, 0.434, 0.353, 0.389, 0.923, 11.978
JEdit, 34, 68, 53, 2897, 0.391, 0.333, 0.360, 0.914, 10.693
JFreeChart, 26, 76, 45, 2905, 0.366, 0.255, 0.301, 0.909, 9.957
JMeter, 25, 77, 17, 2933, 0.595, 0.245, 0.347, 0.944, 16.810
JRuby, 35, 67, 15, 2935, 0.700, 0.343, 0.461, 0.952, 19.945
SQuirrel, 21, 81, 17, 2933, 0.553, 0.206, 0.300, 0.940, 15.536
Dubbo, 12, 90, 16, 2934, 0.429, 0.118, 0.185, 0.922, 11.824
Gradle, 16, 86, 22, 2928, 0.421, 0.157, 0.229, 0.921, 11.599
Groovy, 20, 82, 9, 2941, 0.690, 0.196, 0.305, 0.952, 19.636
Hive, 32, 70, 22, 2928, 0.593, 0.314, 0.410, 0.944, 16.731
Maven, 30, 72, 45, 2905, 0.400, 0.294, 0.339, 0.916, 10.969
Poi, 26, 76, 18, 2932, 0.591, 0.255, 0.356, 0.943, 16.681
SpringFramework, 18, 84, 10, 2940, 0.643, 0.176, 0.277, 0.948, 18.235
Storm, 23, 79, 18, 2932, 0.561, 0.225, 0.322, 0.940, 15.785
Tomcat, 35, 67, 24, 2926, 0.593, 0.343, 0.435, 0.944, 16.750
Zookeeper, 27, 75, 29, 2921, 0.482, 0.265, 0.342, 0.931, 13.426
