Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 436, 610, 262, 28032, 0.625, 0.417, 0.500, 0.943, 16.521
ArgoUML, 648, 398, 546, 27748, 0.543, 0.620, 0.579, 0.934, 14.223
Columba, 748, 298, 302, 27992, 0.712, 0.715, 0.714, 0.950, 18.982
EMF, 685, 361, 399, 27895, 0.632, 0.655, 0.643, 0.944, 16.725
Hibernate, 759, 287, 616, 27678, 0.552, 0.726, 0.627, 0.935, 14.483
JEdit, 491, 555, 1012, 27282, 0.327, 0.469, 0.385, 0.891, 8.163
JFreeChart, 736, 310, 563, 27731, 0.567, 0.704, 0.628, 0.937, 14.893
JMeter, 721, 325, 329, 27965, 0.687, 0.689, 0.688, 0.948, 18.261
JRuby, 776, 270, 348, 27946, 0.690, 0.742, 0.715, 0.948, 18.365
SQuirrel, 737, 309, 370, 27924, 0.666, 0.705, 0.685, 0.946, 17.674
Dubbo, 484, 562, 286, 28008, 0.629, 0.463, 0.533, 0.943, 16.631
Gradle, 561, 485, 413, 27881, 0.576, 0.536, 0.555, 0.938, 15.156
Groovy, 580, 466, 200, 28094, 0.744, 0.554, 0.635, 0.952, 19.857
Maven, 638, 408, 664, 27630, 0.490, 0.610, 0.543, 0.927, 12.745
Poi, 759, 287, 277, 28017, 0.733, 0.726, 0.729, 0.951, 19.550
SpringFramework, 709, 337, 262, 28032, 0.730, 0.678, 0.703, 0.951, 19.481
Storm, 613, 433, 230, 28064, 0.727, 0.586, 0.649, 0.951, 19.397
Tomcat, 723, 323, 357, 27937, 0.669, 0.691, 0.680, 0.947, 17.778
Zookeeper, 543, 503, 270, 28024, 0.668, 0.519, 0.584, 0.947, 17.734
