Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 29, 166, 24, 4425, 0.547, 0.149, 0.234, 0.923, 12.031
ArgoUML, 35, 160, 18, 4431, 0.660, 0.179, 0.282, 0.936, 14.727
Columba, 13, 182, 10, 4439, 0.565, 0.067, 0.119, 0.926, 12.461
EMF, 34, 161, 19, 4430, 0.642, 0.174, 0.274, 0.935, 14.278
Hibernate, 54, 141, 39, 4410, 0.581, 0.277, 0.375, 0.928, 12.828
JFreeChart, 46, 149, 29, 4420, 0.613, 0.236, 0.341, 0.932, 13.607
JMeter, 26, 169, 18, 4431, 0.591, 0.133, 0.218, 0.929, 13.073
JRuby, 41, 154, 14, 4435, 0.745, 0.210, 0.328, 0.944, 16.753
SQuirrel, 42, 153, 11, 4438, 0.792, 0.215, 0.339, 0.947, 17.873
Dubbo, 18, 177, 16, 4433, 0.529, 0.092, 0.157, 0.921, 11.608
Gradle, 24, 171, 12, 4437, 0.667, 0.123, 0.208, 0.937, 14.877
Groovy, 20, 175, 11, 4438, 0.645, 0.103, 0.177, 0.935, 14.365
Hive, 36, 159, 14, 4435, 0.720, 0.185, 0.294, 0.942, 16.147
Maven, 42, 153, 44, 4405, 0.488, 0.215, 0.299, 0.914, 10.631
Poi, 30, 165, 13, 4436, 0.698, 0.154, 0.252, 0.940, 15.615
SpringFramework, 17, 178, 7, 4442, 0.708, 0.087, 0.155, 0.941, 15.869
Storm, 19, 176, 12, 4437, 0.613, 0.097, 0.168, 0.931, 13.597
Tomcat, 46, 149, 20, 4429, 0.697, 0.236, 0.352, 0.940, 15.599
Zookeeper, 27, 168, 13, 4436, 0.675, 0.138, 0.230, 0.938, 15.075
