Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 56, 80, 16, 1067, 0.778, 0.412, 0.538, 0.857, 5.971
ArgoUML, 85, 51, 47, 1036, 0.644, 0.625, 0.634, 0.827, 4.772
Columba, 89, 47, 32, 1051, 0.736, 0.654, 0.693, 0.848, 5.593
EMF, 85, 51, 39, 1044, 0.685, 0.625, 0.654, 0.837, 5.144
Hibernate, 94, 42, 52, 1031, 0.644, 0.691, 0.667, 0.827, 4.771
JEdit, 71, 65, 58, 1025, 0.550, 0.522, 0.536, 0.797, 3.933
JFreeChart, 95, 41, 54, 1029, 0.638, 0.699, 0.667, 0.825, 4.715
JMeter, 83, 53, 36, 1047, 0.697, 0.610, 0.651, 0.840, 5.252
JRuby, 93, 43, 42, 1041, 0.689, 0.684, 0.686, 0.838, 5.175
SQuirrel, 92, 44, 38, 1045, 0.708, 0.676, 0.692, 0.842, 5.343
Dubbo, 62, 74, 14, 1069, 0.816, 0.456, 0.585, 0.863, 6.312
Gradle, 78, 58, 23, 1060, 0.772, 0.574, 0.658, 0.856, 5.922
Groovy, 80, 56, 34, 1049, 0.702, 0.588, 0.640, 0.841, 5.290
Hive, 87, 49, 29, 1054, 0.750, 0.640, 0.690, 0.851, 5.722
Poi, 90, 46, 35, 1048, 0.720, 0.662, 0.690, 0.845, 5.454
SpringFramework, 85, 51, 31, 1052, 0.733, 0.625, 0.675, 0.848, 5.568
Storm, 76, 60, 29, 1054, 0.724, 0.559, 0.631, 0.846, 5.488
Tomcat, 90, 46, 32, 1051, 0.738, 0.662, 0.698, 0.849, 5.612
Zookeeper, 75, 61, 25, 1058, 0.750, 0.551, 0.636, 0.851, 5.722
