Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 717, 328, 1297, 26997, 0.356, 0.686, 0.469, 0.900, 8.995
ArgoUML, 726, 319, 4570, 23724, 0.137, 0.695, 0.229, 0.740, 2.849
Columba, 668, 377, 3035, 25259, 0.180, 0.639, 0.281, 0.803, 4.065
EMF, 788, 257, 2404, 25890, 0.247, 0.754, 0.372, 0.856, 5.931
Hibernate, 750, 295, 2604, 25690, 0.224, 0.718, 0.341, 0.841, 5.278
JEdit, 745, 300, 2622, 25672, 0.221, 0.713, 0.338, 0.839, 5.212
JFreeChart, 659, 386, 1924, 26370, 0.255, 0.631, 0.363, 0.860, 6.163
JMeter, 739, 306, 1836, 26458, 0.287, 0.707, 0.408, 0.876, 7.057
JRuby, 746, 299, 2561, 25733, 0.226, 0.714, 0.343, 0.842, 5.333
SQuirrel, 720, 325, 1703, 26591, 0.297, 0.689, 0.415, 0.880, 7.343
Dubbo, 398, 647, 1687, 26607, 0.191, 0.381, 0.254, 0.813, 4.359
Gradle, 273, 772, 1323, 26971, 0.171, 0.261, 0.207, 0.792, 3.802
Groovy, 483, 562, 1013, 27281, 0.323, 0.462, 0.380, 0.890, 8.065
Hive, 848, 197, 757, 27537, 0.528, 0.811, 0.640, 0.933, 13.834
Maven, 304, 741, 2865, 25429, 0.096, 0.291, 0.144, 0.629, 1.693
Poi, 594, 451, 1419, 26875, 0.295, 0.568, 0.388, 0.879, 7.285
SpringFramework, 640, 405, 1492, 26802, 0.300, 0.612, 0.403, 0.881, 7.428
Storm, 725, 320, 1927, 26367, 0.273, 0.694, 0.392, 0.870, 6.675
Tomcat, 643, 402, 1457, 26837, 0.306, 0.615, 0.409, 0.884, 7.596
Zookeeper, 500, 545, 1571, 26723, 0.241, 0.478, 0.321, 0.852, 5.778
