TP, FN, FP, TN, P    , R    , F1   , ER   , RI
46, 55, 7, 2943, 0.868, 0.455, 0.597, 0.962, 25.218
903, 65, 195, 4262, 0.822, 0.933, 0.874, 0.783, 3.609
105, 22, 11, 3951, 0.905, 0.827, 0.864, 0.966, 28.144
25, 48, 0, 2511, 1.000, 0.342, 0.510, 0.972, 34.397
273, 103, 16, 2099, 0.945, 0.726, 0.821, 0.840, 5.258
40, 154, 7, 4442, 0.851, 0.206, 0.332, 0.951, 19.369
73, 27, 28, 2365, 0.723, 0.730, 0.726, 0.945, 17.019
219, 62, 18, 3848, 0.924, 0.779, 0.846, 0.927, 12.637
338, 44, 33, 3236, 0.911, 0.885, 0.898, 0.885, 7.707
122, 78, 10, 4262, 0.924, 0.610, 0.735, 0.952, 19.666
63, 21, 21, 1543, 0.750, 0.750, 0.750, 0.932, 13.714
236, 84, 116, 2887, 0.670, 0.738, 0.702, 0.856, 5.962
204, 44, 77, 4109, 0.726, 0.823, 0.771, 0.923, 11.980
795, 250, 220, 28074, 0.783, 0.761, 0.772, 0.955, 20.990
93, 42, 32, 1051, 0.744, 0.689, 0.715, 0.851, 5.713
527, 90, 97, 14318, 0.845, 0.854, 0.849, 0.951, 19.576
68, 29, 36, 7578, 0.654, 0.701, 0.677, 0.981, 50.977
55, 36, 10, 3537, 0.846, 0.604, 0.705, 0.970, 32.828
220, 66, 77, 11854, 0.741, 0.769, 0.755, 0.968, 30.642
35, 27, 19, 2609, 0.648, 0.565, 0.603, 0.964, 27.121
