Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 63, 138, 30, 4242, 0.677, 0.313, 0.429, 0.934, 14.075
ArgoUML, 114, 87, 58, 4214, 0.663, 0.567, 0.611, 0.932, 13.750
Columba, 119, 82, 30, 4242, 0.799, 0.592, 0.680, 0.944, 16.773
EMF, 116, 85, 36, 4236, 0.763, 0.577, 0.657, 0.941, 15.983
Hibernate, 121, 80, 61, 4211, 0.665, 0.602, 0.632, 0.932, 13.795
JEdit, 74, 127, 75, 4197, 0.497, 0.368, 0.423, 0.910, 10.052
JFreeChart, 110, 91, 57, 4215, 0.659, 0.547, 0.598, 0.932, 13.658
JMeter, 120, 81, 22, 4250, 0.845, 0.597, 0.700, 0.947, 17.806
JRuby, 131, 70, 28, 4244, 0.824, 0.652, 0.728, 0.945, 17.335
Dubbo, 66, 135, 43, 4229, 0.606, 0.328, 0.426, 0.926, 12.475
Gradle, 89, 112, 43, 4229, 0.674, 0.443, 0.535, 0.933, 14.004
Groovy, 98, 103, 16, 4256, 0.860, 0.488, 0.622, 0.948, 18.130
Hive, 102, 99, 33, 4239, 0.756, 0.507, 0.607, 0.941, 15.814
Maven, 108, 93, 80, 4192, 0.574, 0.537, 0.555, 0.922, 11.784
Poi, 120, 81, 32, 4240, 0.789, 0.597, 0.680, 0.943, 16.569
SpringFramework, 112, 89, 18, 4254, 0.862, 0.557, 0.677, 0.948, 18.172
Storm, 105, 96, 16, 4256, 0.868, 0.522, 0.652, 0.948, 18.311
Tomcat, 110, 91, 38, 4234, 0.743, 0.547, 0.630, 0.940, 15.540
Zookeeper, 91, 110, 24, 4248, 0.791, 0.453, 0.576, 0.943, 16.609
