Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 46, 45, 205, 3342, 0.183, 0.505, 0.269, 0.864, 6.327
ArgoUML, 55, 36, 447, 3100, 0.110, 0.604, 0.185, 0.772, 3.380
Columba, 52, 39, 350, 3197, 0.129, 0.571, 0.211, 0.807, 4.171
EMF, 57, 34, 371, 3176, 0.133, 0.626, 0.220, 0.812, 4.324
Hibernate, 61, 30, 311, 3236, 0.164, 0.670, 0.263, 0.847, 5.556
JEdit, 62, 29, 321, 3226, 0.162, 0.681, 0.262, 0.845, 5.472
JFreeChart, 59, 32, 282, 3265, 0.173, 0.648, 0.273, 0.855, 5.917
JMeter, 59, 32, 173, 3374, 0.254, 0.648, 0.365, 0.902, 9.167
JRuby, 59, 32, 192, 3355, 0.235, 0.648, 0.345, 0.894, 8.397
SQuirrel, 55, 36, 248, 3299, 0.182, 0.604, 0.279, 0.862, 6.257
Dubbo, 30, 61, 181, 3366, 0.142, 0.330, 0.199, 0.824, 4.684
Gradle, 25, 66, 74, 3473, 0.253, 0.275, 0.263, 0.901, 9.095
Groovy, 36, 55, 127, 3420, 0.221, 0.396, 0.283, 0.887, 7.830
Hive, 52, 39, 218, 3329, 0.193, 0.571, 0.288, 0.870, 6.699
Maven, 27, 64, 256, 3291, 0.095, 0.297, 0.144, 0.738, 2.814
Poi, 46, 45, 155, 3392, 0.229, 0.505, 0.315, 0.891, 8.149
SpringFramework, 54, 37, 172, 3375, 0.239, 0.593, 0.341, 0.895, 8.552
Storm, 72, 19, 93, 3454, 0.436, 0.791, 0.562, 0.943, 16.445
Tomcat, 58, 33, 165, 3382, 0.260, 0.637, 0.369, 0.904, 9.398
Zookeeper, 54, 37, 213, 3334, 0.202, 0.593, 0.302, 0.876, 7.085
