Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 40, 22, 427, 2201, 0.086, 0.645, 0.151, 0.731, 2.716
ArgoUML, 41, 21, 539, 2089, 0.071, 0.661, 0.128, 0.674, 2.067
Columba, 43, 19, 599, 2029, 0.067, 0.694, 0.122, 0.656, 1.906
EMF, 45, 17, 540, 2088, 0.077, 0.726, 0.139, 0.700, 2.337
Hibernate, 36, 26, 344, 2284, 0.095, 0.581, 0.163, 0.757, 3.110
JEdit, 48, 14, 707, 1921, 0.064, 0.774, 0.118, 0.637, 1.758
JFreeChart, 44, 18, 544, 2084, 0.075, 0.710, 0.135, 0.692, 2.247
JMeter, 43, 19, 477, 2151, 0.083, 0.694, 0.148, 0.721, 2.588
JRuby, 44, 18, 447, 2181, 0.090, 0.710, 0.159, 0.743, 2.888
SQuirrel, 35, 27, 407, 2221, 0.079, 0.565, 0.139, 0.709, 2.436
Dubbo, 30, 32, 365, 2263, 0.076, 0.484, 0.131, 0.697, 2.295
Gradle, 30, 32, 364, 2264, 0.076, 0.484, 0.132, 0.697, 2.304
Groovy, 46, 16, 453, 2175, 0.092, 0.742, 0.164, 0.750, 3.000
Hive, 47, 15, 423, 2205, 0.100, 0.758, 0.177, 0.770, 3.339
Maven, 36, 26, 481, 2147, 0.070, 0.581, 0.124, 0.669, 2.021
Poi, 41, 21, 386, 2242, 0.096, 0.661, 0.168, 0.760, 3.166
SpringFramework, 45, 17, 658, 1970, 0.064, 0.726, 0.118, 0.640, 1.777
Storm, 43, 19, 520, 2108, 0.076, 0.694, 0.138, 0.698, 2.314
Tomcat, 45, 17, 388, 2240, 0.104, 0.726, 0.182, 0.778, 3.509
Zookeeper, 56, 6, 392, 2236, 0.125, 0.903, 0.220, 0.816, 4.423
