Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 115, 268, 36, 3233, 0.762, 0.300, 0.431, 0.862, 6.262
ArgoUML, 169, 214, 50, 3219, 0.772, 0.441, 0.561, 0.864, 6.358
Columba, 285, 98, 28, 3241, 0.911, 0.744, 0.819, 0.885, 7.682
EMF, 170, 213, 29, 3240, 0.854, 0.444, 0.584, 0.877, 7.146
Hibernate, 236, 147, 60, 3209, 0.797, 0.616, 0.695, 0.868, 6.602
JEdit, 147, 236, 68, 3201, 0.684, 0.384, 0.492, 0.847, 5.519
JFreeChart, 266, 117, 82, 3187, 0.764, 0.695, 0.728, 0.863, 6.288
JMeter, 213, 170, 29, 3240, 0.880, 0.556, 0.682, 0.881, 7.393
SQuirrel, 181, 202, 37, 3232, 0.830, 0.473, 0.602, 0.874, 6.917
Dubbo, 195, 188, 19, 3250, 0.911, 0.509, 0.653, 0.885, 7.689
Gradle, 119, 264, 29, 3240, 0.804, 0.311, 0.448, 0.870, 6.667
Groovy, 191, 192, 18, 3251, 0.914, 0.499, 0.645, 0.885, 7.714
Hive, 279, 104, 33, 3236, 0.894, 0.728, 0.803, 0.883, 7.527
Maven, 170, 213, 56, 3213, 0.752, 0.444, 0.558, 0.861, 6.173
Poi, 284, 99, 31, 3238, 0.902, 0.742, 0.814, 0.884, 7.597
SpringFramework, 165, 218, 23, 3246, 0.878, 0.431, 0.578, 0.881, 7.369
Storm, 176, 207, 24, 3245, 0.880, 0.460, 0.604, 0.881, 7.391
Tomcat, 267, 116, 39, 3230, 0.873, 0.697, 0.775, 0.880, 7.320
Zookeeper, 177, 206, 36, 3233, 0.831, 0.462, 0.594, 0.874, 6.924
