Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 174, 108, 210, 3656, 0.453, 0.617, 0.523, 0.850, 5.665
ArgoUML, 184, 98, 85, 3781, 0.684, 0.652, 0.668, 0.901, 9.061
Columba, 211, 71, 84, 3782, 0.715, 0.748, 0.731, 0.905, 9.521
EMF, 199, 83, 176, 3690, 0.531, 0.706, 0.606, 0.872, 6.806
Hibernate, 211, 71, 82, 3784, 0.720, 0.748, 0.734, 0.906, 9.593
JEdit, 151, 131, 281, 3585, 0.350, 0.535, 0.423, 0.806, 4.141
JFreeChart, 224, 58, 272, 3594, 0.452, 0.794, 0.576, 0.849, 5.643
JRuby, 214, 68, 50, 3816, 0.811, 0.759, 0.784, 0.916, 10.923
SQuirrel, 211, 71, 102, 3764, 0.674, 0.748, 0.709, 0.899, 8.916
Dubbo, 206, 76, 98, 3768, 0.678, 0.730, 0.703, 0.900, 8.967
Gradle, 180, 102, 58, 3808, 0.756, 0.638, 0.692, 0.910, 10.125
Groovy, 211, 71, 59, 3807, 0.781, 0.748, 0.764, 0.913, 10.495
Hive, 216, 66, 68, 3798, 0.761, 0.766, 0.763, 0.911, 10.187
Maven, 183, 99, 129, 3737, 0.587, 0.649, 0.616, 0.884, 7.628
Poi, 215, 67, 78, 3788, 0.734, 0.762, 0.748, 0.907, 9.793
SpringFramework, 204, 78, 55, 3811, 0.788, 0.723, 0.754, 0.914, 10.586
Storm, 212, 70, 149, 3717, 0.587, 0.752, 0.659, 0.884, 7.638
Tomcat, 202, 80, 97, 3769, 0.676, 0.716, 0.695, 0.899, 8.937
Zookeeper, 188, 94, 115, 3751, 0.620, 0.667, 0.643, 0.890, 8.127
