Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 300, 76, 295, 1820, 0.504, 0.798, 0.618, 0.701, 2.340
ArgoUML, 260, 116, 406, 1709, 0.390, 0.691, 0.499, 0.613, 1.586
Columba, 297, 79, 491, 1624, 0.377, 0.790, 0.510, 0.600, 1.497
EMF, 292, 84, 326, 1789, 0.472, 0.777, 0.588, 0.681, 2.130
Hibernate, 321, 55, 113, 2002, 0.740, 0.854, 0.793, 0.796, 3.900
JEdit, 319, 57, 557, 1558, 0.364, 0.848, 0.510, 0.585, 1.413
JFreeChart, 282, 94, 248, 1867, 0.532, 0.750, 0.623, 0.716, 2.525
JMeter, 283, 93, 244, 1871, 0.537, 0.753, 0.627, 0.719, 2.558
JRuby, 304, 72, 352, 1763, 0.463, 0.809, 0.589, 0.674, 2.070
SQuirrel, 297, 79, 429, 1686, 0.409, 0.790, 0.539, 0.631, 1.710
Dubbo, 288, 88, 454, 1661, 0.388, 0.766, 0.515, 0.611, 1.571
Gradle, 260, 116, 222, 1893, 0.539, 0.691, 0.606, 0.720, 2.574
Groovy, 262, 114, 270, 1845, 0.492, 0.697, 0.577, 0.694, 2.263
Hive, 283, 93, 270, 1845, 0.512, 0.753, 0.609, 0.705, 2.390
Maven, 197, 179, 338, 1777, 0.368, 0.524, 0.432, 0.590, 1.439
Poi, 292, 84, 467, 1648, 0.385, 0.777, 0.515, 0.608, 1.549
SpringFramework, 282, 94, 362, 1753, 0.438, 0.750, 0.553, 0.655, 1.901
Storm, 303, 73, 315, 1800, 0.490, 0.806, 0.610, 0.692, 2.248
Tomcat, 274, 102, 321, 1794, 0.461, 0.729, 0.564, 0.672, 2.051
Zookeeper, 281, 95, 292, 1823, 0.490, 0.747, 0.592, 0.692, 2.249
