Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 728, 241, 326, 4131, 0.691, 0.751, 0.720, 0.741, 2.868
Columba, 888, 81, 214, 4243, 0.806, 0.916, 0.858, 0.778, 3.512
EMF, 846, 123, 285, 4172, 0.748, 0.873, 0.806, 0.761, 3.189
Hibernate, 882, 87, 251, 4206, 0.778, 0.910, 0.839, 0.771, 3.359
JEdit, 713, 256, 373, 4084, 0.657, 0.736, 0.694, 0.728, 2.676
JFreeChart, 886, 83, 481, 3976, 0.648, 0.914, 0.759, 0.724, 2.629
JMeter, 888, 81, 212, 4245, 0.807, 0.916, 0.858, 0.779, 3.520
JRuby, 889, 80, 208, 4249, 0.810, 0.917, 0.861, 0.780, 3.538
SQuirrel, 910, 59, 316, 4141, 0.742, 0.939, 0.829, 0.759, 3.156
Dubbo, 868, 101, 260, 4197, 0.770, 0.896, 0.828, 0.768, 3.309
Gradle, 794, 175, 192, 4265, 0.805, 0.819, 0.812, 0.778, 3.509
Groovy, 833, 136, 222, 4235, 0.790, 0.860, 0.823, 0.774, 3.421
Hive, 903, 66, 266, 4191, 0.772, 0.932, 0.845, 0.769, 3.325
Maven, 867, 102, 282, 4175, 0.755, 0.895, 0.819, 0.763, 3.225
Poi, 905, 64, 227, 4230, 0.799, 0.934, 0.861, 0.777, 3.477
SpringFramework, 832, 137, 247, 4210, 0.771, 0.859, 0.813, 0.768, 3.318
Storm, 866, 103, 292, 4165, 0.748, 0.894, 0.814, 0.761, 3.188
Tomcat, 854, 115, 266, 4191, 0.763, 0.881, 0.818, 0.766, 3.270
Zookeeper, 861, 108, 275, 4182, 0.758, 0.889, 0.818, 0.764, 3.244
