Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 223, 98, 306, 2697, 0.422, 0.695, 0.525, 0.771, 3.365
ArgoUML, 213, 108, 191, 2812, 0.527, 0.664, 0.588, 0.817, 4.460
Columba, 252, 69, 187, 2816, 0.574, 0.785, 0.663, 0.832, 4.944
EMF, 260, 61, 315, 2688, 0.452, 0.810, 0.580, 0.786, 3.682
Hibernate, 263, 58, 204, 2799, 0.563, 0.819, 0.668, 0.829, 4.832
JEdit, 239, 82, 508, 2495, 0.320, 0.745, 0.448, 0.698, 2.313
JFreeChart, 275, 46, 495, 2508, 0.357, 0.857, 0.504, 0.730, 2.698
JMeter, 252, 69, 212, 2791, 0.543, 0.785, 0.642, 0.822, 4.624
JRuby, 250, 71, 164, 2839, 0.604, 0.779, 0.680, 0.840, 5.253
SQuirrel, 260, 61, 270, 2733, 0.491, 0.810, 0.611, 0.803, 4.080
Dubbo, 250, 71, 243, 2760, 0.507, 0.779, 0.614, 0.810, 4.251
Groovy, 244, 77, 196, 2807, 0.555, 0.760, 0.641, 0.826, 4.742
Hive, 259, 62, 210, 2793, 0.552, 0.807, 0.656, 0.825, 4.719
Maven, 253, 68, 262, 2741, 0.491, 0.788, 0.605, 0.803, 4.087
Poi, 263, 58, 223, 2780, 0.541, 0.819, 0.652, 0.822, 4.604
SpringFramework, 246, 75, 212, 2791, 0.537, 0.766, 0.632, 0.820, 4.562
Storm, 260, 61, 253, 2750, 0.507, 0.810, 0.624, 0.809, 4.248
Tomcat, 259, 62, 243, 2760, 0.516, 0.807, 0.629, 0.813, 4.343
Zookeeper, 233, 88, 222, 2781, 0.512, 0.726, 0.601, 0.811, 4.303
