Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 33, 30, 143, 2485, 0.188, 0.524, 0.276, 0.875, 7.009
ArgoUML, 21, 42, 44, 2584, 0.323, 0.333, 0.328, 0.928, 12.800
Columba, 32, 31, 57, 2571, 0.360, 0.508, 0.421, 0.935, 14.358
EMF, 33, 30, 141, 2487, 0.190, 0.524, 0.278, 0.877, 7.101
Hibernate, 29, 34, 62, 2566, 0.319, 0.460, 0.377, 0.927, 12.612
JEdit, 40, 23, 326, 2302, 0.109, 0.635, 0.186, 0.786, 3.668
JFreeChart, 40, 23, 215, 2413, 0.157, 0.635, 0.252, 0.851, 5.700
JMeter, 27, 36, 82, 2546, 0.248, 0.429, 0.314, 0.905, 9.581
JRuby, 41, 22, 47, 2581, 0.466, 0.651, 0.543, 0.950, 18.901
SQuirrel, 31, 32, 61, 2567, 0.337, 0.492, 0.400, 0.931, 13.393
Dubbo, 32, 31, 78, 2550, 0.291, 0.508, 0.370, 0.920, 11.426
Gradle, 28, 35, 47, 2581, 0.373, 0.444, 0.406, 0.937, 14.947
Groovy, 32, 31, 90, 2538, 0.262, 0.508, 0.346, 0.911, 10.204
Hive, 36, 27, 49, 2579, 0.424, 0.571, 0.486, 0.945, 17.091
Maven, 33, 30, 78, 2550, 0.297, 0.524, 0.379, 0.921, 11.699
Poi, 37, 26, 60, 2568, 0.381, 0.587, 0.463, 0.939, 15.293
SpringFramework, 30, 33, 60, 2568, 0.333, 0.476, 0.392, 0.930, 13.238
Storm, 33, 30, 96, 2532, 0.256, 0.524, 0.344, 0.908, 9.927
Tomcat, 42, 21, 73, 2555, 0.365, 0.667, 0.472, 0.936, 14.600
