Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 29, 56, 44, 1520, 0.397, 0.341, 0.367, 0.870, 6.707
ArgoUML, 35, 50, 25, 1539, 0.583, 0.412, 0.483, 0.912, 10.317
Columba, 59, 26, 31, 1533, 0.656, 0.694, 0.674, 0.921, 11.718
EMF, 40, 45, 35, 1529, 0.533, 0.471, 0.500, 0.903, 9.347
Hibernate, 46, 39, 28, 1536, 0.622, 0.541, 0.579, 0.917, 11.059
JEdit, 25, 60, 57, 1507, 0.305, 0.294, 0.299, 0.831, 4.915
JFreeChart, 52, 33, 74, 1490, 0.413, 0.612, 0.493, 0.875, 7.006
JMeter, 47, 38, 26, 1538, 0.644, 0.553, 0.595, 0.920, 11.490
JRuby, 62, 23, 25, 1539, 0.713, 0.729, 0.721, 0.928, 12.825
SQuirrel, 40, 45, 32, 1532, 0.556, 0.471, 0.510, 0.907, 9.778
Gradle, 34, 51, 21, 1543, 0.618, 0.400, 0.486, 0.917, 10.993
Groovy, 45, 40, 17, 1547, 0.726, 0.529, 0.612, 0.929, 13.081
Hive, 60, 25, 33, 1531, 0.645, 0.706, 0.674, 0.920, 11.516
Maven, 36, 49, 33, 1531, 0.522, 0.424, 0.468, 0.901, 9.122
Poi, 64, 21, 26, 1538, 0.711, 0.753, 0.731, 0.928, 12.796
SpringFramework, 55, 30, 29, 1535, 0.655, 0.647, 0.651, 0.921, 11.702
Storm, 51, 34, 27, 1537, 0.654, 0.600, 0.626, 0.921, 11.685
Tomcat, 58, 27, 27, 1537, 0.682, 0.682, 0.682, 0.924, 12.238
Zookeeper, 45, 40, 38, 1526, 0.542, 0.529, 0.536, 0.905, 9.518
