TP, FN, FP, TN, P    , R    , F1   , ER   , RI
57, 44, 70, 2880, 0.449, 0.564, 0.500, 0.926, 12.558
864, 104, 272, 4185, 0.761, 0.893, 0.821, 0.765, 3.262
101, 26, 37, 3925, 0.732, 0.795, 0.762, 0.958, 22.564
34, 39, 64, 2447, 0.347, 0.466, 0.398, 0.919, 11.281
269, 107, 80, 2035, 0.771, 0.715, 0.742, 0.804, 4.106
89, 105, 64, 4385, 0.582, 0.459, 0.513, 0.928, 12.922
68, 32, 46, 2347, 0.596, 0.680, 0.636, 0.933, 13.871
208, 73, 91, 3775, 0.696, 0.740, 0.717, 0.903, 9.266
322, 60, 109, 3160, 0.747, 0.843, 0.792, 0.860, 6.140
131, 69, 94, 4178, 0.582, 0.655, 0.616, 0.923, 12.018
59, 25, 33, 1531, 0.641, 0.702, 0.670, 0.921, 11.582
239, 81, 244, 2759, 0.495, 0.747, 0.595, 0.805, 4.138
195, 53, 179, 4007, 0.521, 0.786, 0.627, 0.893, 8.322
780, 265, 1071, 27223, 0.421, 0.746, 0.539, 0.915, 10.831
93, 42, 57, 1026, 0.620, 0.689, 0.653, 0.821, 4.594
480, 137, 392, 14023, 0.550, 0.778, 0.645, 0.925, 12.411
63, 34, 206, 7408, 0.234, 0.649, 0.344, 0.946, 17.618
62, 29, 129, 3418, 0.325, 0.681, 0.440, 0.923, 11.977
227, 59, 351, 11580, 0.393, 0.794, 0.525, 0.940, 15.776
37, 25, 63, 2565, 0.370, 0.597, 0.457, 0.938, 15.053
