Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 220, 157, 79, 2036, 0.736, 0.584, 0.651, 0.794, 3.864
ArgoUML, 227, 150, 32, 2083, 0.876, 0.602, 0.714, 0.827, 4.793
Columba, 270, 107, 30, 2085, 0.900, 0.716, 0.798, 0.832, 4.949
EMF, 265, 112, 44, 2071, 0.858, 0.703, 0.773, 0.824, 4.669
JEdit, 221, 156, 129, 1986, 0.631, 0.586, 0.608, 0.760, 3.174
JFreeChart, 284, 93, 95, 2020, 0.749, 0.753, 0.751, 0.798, 3.953
JMeter, 275, 102, 38, 2077, 0.879, 0.729, 0.797, 0.828, 4.808
JRuby, 275, 102, 32, 2083, 0.896, 0.729, 0.804, 0.831, 4.921
SQuirrel, 276, 101, 51, 2064, 0.844, 0.732, 0.784, 0.821, 4.579
Dubbo, 215, 162, 38, 2077, 0.850, 0.570, 0.683, 0.822, 4.617
Gradle, 215, 162, 36, 2079, 0.857, 0.570, 0.685, 0.823, 4.662
Groovy, 250, 127, 28, 2087, 0.899, 0.663, 0.763, 0.832, 4.944
Hive, 286, 91, 59, 2056, 0.829, 0.759, 0.792, 0.818, 4.480
Maven, 223, 154, 67, 2048, 0.769, 0.592, 0.669, 0.803, 4.083
Poi, 278, 99, 35, 2080, 0.888, 0.737, 0.806, 0.830, 4.871
SpringFramework, 272, 105, 24, 2091, 0.919, 0.721, 0.808, 0.835, 5.074
Storm, 267, 110, 69, 2046, 0.795, 0.708, 0.749, 0.810, 4.253
Tomcat, 274, 103, 63, 2052, 0.813, 0.727, 0.768, 0.814, 4.374
Zookeeper, 212, 165, 58, 2057, 0.785, 0.562, 0.655, 0.807, 4.190
