Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 31, 70, 35, 2358, 0.470, 0.307, 0.371, 0.914, 10.598
ArgoUML, 39, 62, 13, 2380, 0.750, 0.386, 0.510, 0.946, 17.520
Columba, 68, 33, 30, 2363, 0.694, 0.673, 0.683, 0.942, 16.134
EMF, 44, 57, 14, 2379, 0.759, 0.436, 0.553, 0.947, 17.733
Hibernate, 54, 47, 24, 2369, 0.692, 0.535, 0.603, 0.942, 16.095
JEdit, 36, 65, 48, 2345, 0.429, 0.356, 0.389, 0.906, 9.583
JMeter, 53, 48, 10, 2383, 0.841, 0.525, 0.646, 0.952, 19.774
JRuby, 77, 24, 30, 2363, 0.720, 0.762, 0.740, 0.944, 16.770
SQuirrel, 52, 49, 12, 2381, 0.813, 0.515, 0.630, 0.950, 19.063
Dubbo, 60, 41, 37, 2356, 0.619, 0.594, 0.606, 0.935, 14.274
Gradle, 31, 70, 14, 2379, 0.689, 0.307, 0.425, 0.941, 16.011
Groovy, 54, 47, 12, 2381, 0.818, 0.535, 0.647, 0.951, 19.203
Hive, 69, 32, 49, 2344, 0.585, 0.683, 0.630, 0.931, 13.439
Maven, 48, 53, 17, 2376, 0.738, 0.475, 0.578, 0.945, 17.235
Poi, 69, 32, 29, 2364, 0.704, 0.683, 0.693, 0.942, 16.386
SpringFramework, 48, 53, 11, 2382, 0.814, 0.475, 0.600, 0.950, 19.089
Storm, 52, 49, 13, 2380, 0.800, 0.515, 0.627, 0.949, 18.754
Tomcat, 74, 27, 44, 2349, 0.627, 0.733, 0.676, 0.935, 14.485
Zookeeper, 52, 49, 20, 2373, 0.722, 0.515, 0.601, 0.944, 16.834
