Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 92, 290, 151, 3118, 0.379, 0.241, 0.294, 0.724, 2.619
ArgoUML, 283, 99, 380, 2889, 0.427, 0.741, 0.542, 0.755, 3.080
Columba, 329, 53, 378, 2891, 0.465, 0.861, 0.604, 0.775, 3.448
EMF, 211, 171, 225, 3044, 0.484, 0.552, 0.516, 0.784, 3.625
Hibernate, 322, 60, 185, 3084, 0.635, 0.843, 0.724, 0.835, 5.070
JEdit, 257, 125, 335, 2934, 0.434, 0.673, 0.528, 0.759, 3.149
JFreeChart, 270, 112, 347, 2922, 0.438, 0.707, 0.541, 0.761, 3.182
JMeter, 322, 60, 195, 3074, 0.623, 0.843, 0.716, 0.832, 4.953
JRuby, 341, 41, 80, 3189, 0.810, 0.893, 0.849, 0.871, 6.741
SQuirrel, 228, 154, 257, 3012, 0.470, 0.597, 0.526, 0.777, 3.493
Dubbo, 226, 156, 310, 2959, 0.422, 0.592, 0.492, 0.752, 3.030
Gradle, 110, 272, 115, 3154, 0.489, 0.288, 0.362, 0.786, 3.673
Groovy, 275, 107, 187, 3082, 0.595, 0.720, 0.652, 0.824, 4.689
Hive, 329, 53, 196, 3073, 0.627, 0.861, 0.725, 0.833, 4.989
Maven, 202, 180, 187, 3082, 0.519, 0.529, 0.524, 0.799, 3.963
Poi, 326, 56, 297, 2972, 0.523, 0.853, 0.649, 0.800, 4.001
SpringFramework, 266, 116, 891, 2378, 0.230, 0.696, 0.346, 0.545, 1.197
Storm, 290, 92, 317, 2952, 0.478, 0.759, 0.586, 0.781, 3.566
Tomcat, 330, 52, 153, 3116, 0.683, 0.864, 0.763, 0.847, 5.530
Zookeeper, 323, 59, 366, 2903, 0.469, 0.846, 0.603, 0.777, 3.481
