Project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 30.2, 71.8, 43.7, 2906.3, 0.434, 0.296, 0.343, 0.918, 11.980
ArgoUML, 795.3, 173.7, 200.5, 4256.5, 0.798, 0.821, 0.807, 0.776, 3.471
Columba, 86.5, 41.5, 25.8, 3936.2, 0.780, 0.676, 0.717, 0.959, 23.922
EMF, 25.8, 48.2, 35.1, 2475.9, 0.488, 0.349, 0.393, 0.934, 16.048
Hibernate, 248.3, 128.7, 48.5, 2066.5, 0.840, 0.659, 0.736, 0.819, 4.552
JEdit, 42.5, 152.5, 29.8, 4419.2, 0.606, 0.218, 0.314, 0.929, 13.435
JFreeChart, 52.6, 48.4, 23.6, 2369.4, 0.704, 0.521, 0.587, 0.941, 16.378
JMeter, 183.4, 98.6, 58.8, 3807.2, 0.768, 0.650, 0.701, 0.909, 10.296
JRuby, 234.2, 148.8, 62.8, 3206.2, 0.788, 0.612, 0.680, 0.866, 6.518
SQuirrel, 116.4, 84.6, 68.6, 4203.4, 0.644, 0.579, 0.606, 0.928, 13.329
Dubbo, 43.7, 41.3, 24.6, 1539.4, 0.640, 0.515, 0.563, 0.918, 11.412
Gradle, 231.2, 89.8, 178.8, 2824.2, 0.570, 0.720, 0.634, 0.829, 4.899
Groovy, 176.7, 72.3, 126.8, 4059.2, 0.590, 0.710, 0.641, 0.902, 9.515
Hive, 711.2, 334.8, 646.1, 27647.9, 0.547, 0.680, 0.601, 0.931, 14.337
Maven, 90.3, 45.7, 48.4, 1034.6, 0.658, 0.664, 0.658, 0.829, 4.897
Poi, 409.8, 208.2, 234.3, 14180.7, 0.651, 0.663, 0.652, 0.933, 14.825
SpringFramework, 58.8, 39.2, 109.9, 7504.1, 0.392, 0.600, 0.466, 0.960, 29.881
Storm, 51.7, 40.3, 76.5, 3470.5, 0.443, 0.562, 0.485, 0.937, 16.507
Tomcat, 150.3, 136.7, 215.5, 11715.5, 0.435, 0.524, 0.469, 0.942, 17.509
Zookeeper, 29.3, 33.7, 52.2, 2575.8, 0.394, 0.464, 0.418, 0.934, 15.810
