Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 49, 51, 93, 2300, 0.345, 0.490, 0.405, 0.884, 7.603
ArgoUML, 76, 24, 287, 2106, 0.209, 0.760, 0.328, 0.808, 4.220
Columba, 80, 20, 168, 2225, 0.323, 0.800, 0.460, 0.876, 7.042
EMF, 53, 47, 143, 2250, 0.270, 0.530, 0.358, 0.852, 5.741
Hibernate, 77, 23, 132, 2261, 0.368, 0.770, 0.498, 0.891, 8.185
JEdit, 62, 38, 176, 2217, 0.261, 0.620, 0.367, 0.846, 5.494
JFreeChart, 74, 26, 78, 2315, 0.487, 0.740, 0.587, 0.918, 11.137
JMeter, 72, 28, 117, 2276, 0.381, 0.720, 0.498, 0.895, 8.497
JRuby, 76, 24, 113, 2280, 0.402, 0.760, 0.526, 0.900, 9.025
SQuirrel, 58, 42, 180, 2213, 0.244, 0.580, 0.343, 0.835, 5.075
Dubbo, 56, 44, 148, 2245, 0.275, 0.560, 0.368, 0.854, 5.844
Gradle, 32, 68, 53, 2340, 0.376, 0.320, 0.346, 0.893, 8.385
Groovy, 52, 48, 140, 2253, 0.271, 0.520, 0.356, 0.852, 5.752
Hive, 83, 17, 217, 2176, 0.277, 0.830, 0.415, 0.855, 5.897
Maven, 46, 54, 139, 2254, 0.249, 0.460, 0.323, 0.839, 5.199
Poi, 72, 28, 126, 2267, 0.364, 0.720, 0.483, 0.890, 8.065
SpringFramework, 60, 40, 174, 2219, 0.256, 0.600, 0.359, 0.844, 5.392
Storm, 71, 29, 267, 2126, 0.210, 0.710, 0.324, 0.809, 4.237
Tomcat, 78, 22, 275, 2118, 0.221, 0.780, 0.344, 0.818, 4.509
Zookeeper, 71, 29, 256, 2137, 0.217, 0.710, 0.333, 0.815, 4.413
