Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 129, 71, 150, 4122, 0.462, 0.645, 0.539, 0.903, 9.338
ArgoUML, 126, 74, 492, 3780, 0.204, 0.630, 0.308, 0.781, 3.559
Columba, 139, 61, 298, 3974, 0.318, 0.695, 0.436, 0.859, 6.112
EMF, 134, 66, 395, 3877, 0.253, 0.670, 0.368, 0.823, 4.664
Hibernate, 130, 70, 240, 4032, 0.351, 0.650, 0.456, 0.873, 6.856
JEdit, 153, 47, 410, 3862, 0.272, 0.765, 0.401, 0.835, 5.077
JFreeChart, 141, 59, 529, 3743, 0.210, 0.705, 0.324, 0.787, 3.706
JMeter, 120, 80, 174, 4098, 0.408, 0.600, 0.486, 0.890, 8.127
JRuby, 116, 84, 145, 4127, 0.444, 0.580, 0.503, 0.899, 8.938
SQuirrel, 172, 28, 212, 4060, 0.448, 0.860, 0.589, 0.900, 9.015
Dubbo, 87, 113, 271, 4001, 0.243, 0.435, 0.312, 0.816, 4.434
Gradle, 61, 139, 166, 4106, 0.269, 0.305, 0.286, 0.834, 5.009
Groovy, 77, 123, 292, 3980, 0.209, 0.385, 0.271, 0.786, 3.666
Hive, 128, 72, 210, 4062, 0.379, 0.640, 0.476, 0.882, 7.468
Maven, 65, 135, 311, 3961, 0.173, 0.325, 0.226, 0.741, 2.865
Poi, 108, 92, 363, 3909, 0.229, 0.540, 0.322, 0.805, 4.127
SpringFramework, 101, 99, 432, 3840, 0.189, 0.505, 0.276, 0.764, 3.237
Storm, 113, 87, 389, 3883, 0.225, 0.565, 0.322, 0.801, 4.033
Tomcat, 124, 76, 340, 3932, 0.267, 0.620, 0.373, 0.833, 4.976
Zookeeper, 110, 90, 310, 3962, 0.262, 0.550, 0.355, 0.829, 4.856
