Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 33, 102, 62, 1021, 0.347, 0.244, 0.287, 0.681, 2.134
ArgoUML, 90, 45, 178, 905, 0.336, 0.667, 0.447, 0.670, 2.030
Columba, 100, 35, 115, 968, 0.465, 0.741, 0.571, 0.762, 3.196
EMF, 101, 34, 117, 966, 0.463, 0.748, 0.572, 0.761, 3.180
Hibernate, 95, 40, 127, 956, 0.428, 0.704, 0.532, 0.741, 2.861
JEdit, 105, 30, 131, 952, 0.445, 0.778, 0.566, 0.751, 3.014
JFreeChart, 90, 45, 141, 942, 0.390, 0.667, 0.492, 0.716, 2.515
JMeter, 80, 55, 61, 1022, 0.567, 0.593, 0.580, 0.805, 4.119
JRuby, 94, 41, 118, 965, 0.443, 0.696, 0.542, 0.750, 3.000
SQuirrel, 96, 39, 94, 989, 0.505, 0.711, 0.591, 0.781, 3.559
Dubbo, 28, 107, 56, 1027, 0.333, 0.207, 0.256, 0.667, 2.007
Gradle, 39, 96, 55, 1028, 0.415, 0.289, 0.341, 0.733, 2.743
Groovy, 53, 82, 91, 992, 0.368, 0.393, 0.380, 0.699, 2.321
Hive, 86, 49, 90, 993, 0.489, 0.637, 0.553, 0.773, 3.409
Maven, 85, 50, 9, 1074, 0.904, 0.630, 0.742, 0.877, 7.158
Poi, 88, 47, 110, 973, 0.444, 0.652, 0.529, 0.751, 3.010
SpringFramework, 51, 84, 69, 1014, 0.425, 0.378, 0.400, 0.739, 2.834
Storm, 78, 57, 137, 946, 0.363, 0.578, 0.446, 0.694, 2.273
Tomcat, 97, 38, 150, 933, 0.393, 0.719, 0.508, 0.718, 2.543
Zookeeper, 58, 77, 71, 1012, 0.450, 0.430, 0.439, 0.753, 3.057
