// line 706
// produce a nicer error since Rubyists aren't used to seeing this
// line 1326
// line 821
// Do not open as 'rw' by default since a file with read-only permissions will fail on 'rw'
// line 574
// ok, now it gets expensive...
// MRI also does a pointer comparison here
// synchronize on the RubyThread for threadgroup updates
// Scope (method/closure) to which this cfg belongs // Entry BB -- dummy // Exit BB -- dummy // The actual graph // Next available basic block id
// variable args with block
// line 916
// line 1886
// jump and branch operations
// line 1516
// Doesn't fit in buffer. Write immediately. // ensure nothing left to write
// SSS FIXME: Is this correctly placed ... at the end of the loop iteration?
// trigger class initialization for the class
// If no explicit block passed to super, then use the one passed in, unless it's explicitly cleared with nil
//System.err.println(" calculateLength()/str=" + str);
// line 457
// leave as a normal array
// We want unique ids for dataflow variables
//          context.swapValues(); //context.consumeCurrentValue();
// FIXME: This is gross. Don't do this.
// we know variables cannot be null since localstaticscope will create a 0 length one.
"/*case CONSTNODE:                handleUselessWarn(node, ""a constant""); return;*/"
// ----- Ruby Class Methods ----------------------------------------------------
//System.err.println(" main/len=" + len);
// proxy is under construction, building thread can // safely read non-volatile value
// Where we get our newest char's
//  See http://www.gzip.org/zlib/rfc-gzip.html
// FIXME: needs to be rethought
// Numeric.equal
// TODO: handle errors in buffered write by retrying until finished or file is closed
// get call site and thread context
// this is a simple rethrow handler
// line 854
// just confirm args length == required
// we do preand post load outside the "body" versions to pre-prepare // and pre-push the dynamic scope we need for lastline
//normal exit, this should be faster than a test at each iterations for string with more than //about 40 char
// line 589
// the proxy (wrapper) type hierarchy
// 1.9 seems to just do inspect for to_s now
// update superclass reference
// check arity
// it's either as converted as we can make it via above logic or it's // not one of the types we convert, so just pass it out as-is without wrapping
// // Hook up the MemoryPointer class if its not already there //
// we take the first method found as our "n" method, since for any non-specific // arity they'll all error the same. If an actual "n" method is created, we // use that.
// This while loop is for restarting the block call in case a 'redo' fires.
// long, little-endian
// line 1137
// line 965
// try to rename one more time
// line 791
// We are creating a new IO object that shares the same // IOHandler (and fileno).
// line 1582
// Get rest of line. lineBuffer filled as side-effect...
// Include additional path separator // (so that dirname of "C:\file.txt" is  "C:\", not "C:")
// for our purposes, Accessibles are also Members, and vice-versa, // so we'll include Member methods here.
// no opt, no rest, exact match
// Raise an error if arity does not match requirements
// set to default thread group
// line 678
// now logic for each optional value
// Always use "GMT" since that's required by Java API.
// line 1489
// end loop
// Init before building basic blocks below!
// line 1305
// line 1719
// promise to implement three to N with block
// redundant, done above as well
// quoted-printable
// Bunch of methods still not implemented
// TODO: eliminate?
"/* Symbol class methods.     *      */"
// all other arg cases without block
// no check for '*'
// re-register the descriptor
// Older JDK on linux map 'c' to 'libc.so' which doesn't work
// If not a property, but is boolean add ?-postfixed aliases.
//        case RUBY_HYBRID: //            backtrace = ThreadContext.createRubyHybridBacktrace(getRuntime(), backtraceFrames, javaStackTrace, getRuntime().getDebug().isTrue()); //            break;
// return result if we're still good
// General number and precision checking
// old (quasi-deprecated) interface class
// utility method
// build first node only and return true
// Create global constants and variables
// line 794
// not reached
// module/singleton methods are all defined public
// Java Doubles are 64 bit long:
// line 1600
// Should we run this pass on the current scope before running it on nested scopes?
// line 1623
// Change visibility so others can see it
// line 1464
// FIXME: NOT_ALLOCATABLE_ALLOCATOR is probably not right here, since we might // eventually want JavaArray to be marshallable. JRUBY-414
//Keyword keyword = Keyword.getKeyword(tempVal, tempVal.length());
//////////////////// CATCH MANAGEMENT ////////////////////////
// Ruby Grammar productions return plenty of nulls.
// these extra arrays are really unfortunate; split some of these paths out to eliminate?
// FIXME: this probably belongs in a different package.
// line 1738
// lock in the overridden methods for the new class, and any as-yet // uninstantiated ancestor class.
// line 1828
/*arg0*/
// make sure the main stream is set to null
// in method body with no containing loop, issue jump error // load runtime and value, issue jump error
// // Complete the request by filling the read buffer first //
// use 1.8 impl
// line 361
/* last expression should not be void */
// two args, no block; load NULL_BLOCK
// load receiver
/* retrieve last replacer */
// Version information:
// otherwise fall back on the old way
// File::Constants module is included in IO.
// unsigned int, native // unsigned long, native
// no bignorm here needed
// generate constants initialization code
// IRubyObject, DynamicMethod, RubyClass, CacheEntry, ThreadContext, IRubyObject, IRubyObject, String
// SSS FIXME: Where is this set up?  How is this diff from ClassVarDeclNode??
// line 1116
// TODO: This version differs from ioctl by checking whether fcntl exists // and raising notimplemented if it doesn't; perhaps no difference for us?
// eval new value, call operator on old value, and assign
// not an expression, only compile the elements
// Sockaddr_un has different structure on different platforms. // See JRUBY-2213 for more details.
// load static empty array
// encoding doesn't have to be copied.
// store the local vars in a local variable for preparing the class (using previous scope)
// Will parser parse Duby grammar Extensions
// All entries following removed node can stay // in list, but all preceding ones need to be // cloned.
// used only by the compiler/interpreter (will set the literal flag)
"/*         * TODO: This version is better than the hackish previous one. Windows         *       behavior needs to be defined though. I suppose this version         *       could be improved more too.         * TODO: /etc/passwd is also inadequate for MacOSX since it does not         *       use /etc/passwd for regular user accounts         */"
// line 1430
// TODO: This filtering is kind of gross...it would be nice to get some parser help here
// The name of the variable
// silence
// with args, no block
// Satisfy java.util.List interface (for Java integration)
// Notify the calling thread that we're about to go to sleep the first time
// line 1982
// identity equality
// Someone called exit!, so we need to kill the main thread
// finally, post args
// SSS FIXME: Should I have a reference to the IR_loop that is being retried?
// Adjust for buffered data
// indices for temp values
// 1.9 support for encodings
// SSS FIXME: Receiver -- this is the class meta object basically? // Operand receiver = build(defsNode.getReceiverNode(), s);
// line 1620
