//no big deal
// TODO : or should we return 'containsTableAlias'??
// note: interfaces is assumed to already contain HibernateProxy.class
// Write any appropriate versioning conditional parameters
// Make sure the root node for the region exists and  // has a DataVersion that never complains
// perhaps this should be an exception since it is only ever used // in the above method?
"//			buf.append( selectFragment( lhsAlias, """" ) )//ignore suffix for collection columns!"
//we need to check even if it was not initialized, because of delayed adds!
//slice, to get the columns for this component //property
// default to element set if no elements() specified
//prevents this session from adding things to cache
"//			paramTranslations = new ParameterTranslationsImpl( collectedParameterSpecifications );"
// (NOT (EQ a b) ) => (NE a b)
// Downgrade locks
// Identity map of CollectionEntry instances, by the collection wrapper
//"as" is not in KEYWORDS
// this is only needed (afaict) for ResultTransformer processing...
//if the identifier is quoted, remove the quotes
// add the fetched entities
// tree cache in optimistic mode seems to have as very difficult // time with remove calls on non-existent nodes (NPEs)...
//note: updates to joined tables can't be batched...
// refresh() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Note this!!
//not really necessary, but good for consistency...
//usually useless
//TODO: suck this into initLaziness!
// insertable simply because that is the user did not specify // anything; just override it
"/*public boolean isNonExistant(EntityUniqueKey key) {		return nonExistentEntityUniqueKeys.contains(key);	}*/"
// TODO: Fix this so it will work for non-POJO entity mode
//it does not refer to an alias of a projection, //look for a property
// this is the root (versioned) table, and we are using version-based // optimistic locking;  if we are not updating the version, also don't // check it (unless this is a "generated" version column)!
// the configured transaction-factory says it only supports // local callback mode, so no sense attempting to register a // JTA Synchronization
//registerColumnType data types
//by default, natural-ids are "immutable" (constant)
// Whether this dialect has an Identity clause added to the data type or a completely seperate identity // data type
// create new lock that times out immediately
//TODO: this class does too many things! we need a different //kind of path expression parser for each of the diffferent //ways in which path expressions can occur
//is this ok?
// If the data type is not an association type, it could not have been in the FROM clause.
// IDENTITY support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// or its key changed
// For pessimistic locking, we just want to toss out our ref // to any old invalid root node and get the latest (may be null)
// The path may be a reference to an alias defined in the parent query.
//test out the optimizer:
//if there is no property-ref, assume the join //is to the subclass table (ie. the table of the //subclass that the association belongs to)
// Constructors ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Loaded entity instances, by EntityKey
// --- Query translator methods ---
//root entity comes *last*
// Print page
//we ran out of ids to try
// the current iterator
// Otherwise, use the property mapping.
// named parameter
// for an any
// we need to wrtap the param in a cast()
// should probably no-op commit/rollback here, at least in JTA scenarios
"//			final List extendsQueue,"
//Cope with [,]
// invokevirtual
// potentialTrimCharacterArgIndex = 1 assumes that a // trim-specification has been specified.  we handle the // exception to that explicitly
// Do we need to drop constraints before dropping tables in this dialect?
//needed for SOAP libraries, etc
//NOTE: we avoid joining to the next table if the named property is just the foreign key value
//sql = update;
// Set the existing pool flag to true
// Next, try to locate this resource through this class's classloader
