// todo : cache this sql...
//full joins are not supported.. yet!
//kinda ugly, but needed for collections with a "." node mapping
//just a performance opt!
//we *could* regerate this inside each called method!
// --Commented out by Inspection (12/11/04 10:56 AM): int getWarningCount();
// Handle actions
//noop
// Initial load from JBC
"//	private final List extendsQueue;"
// todo : temporary //      needed because currently persister is the one that //      creates and renders the join fragments for inheritence //      hierarchies...
//if it is a property of an embedded component, invoke on the "identifier"
// have the entity entry perform post-update processing, passing it the // update state and the new version (if one).
//TODO: really bad, evil hack to fix!!!
// we need to writeObject() on this since interceptor is user defined
// todo : potentially look at optimizing these two arrays
//get a snapshot
// finally, what it's all about...
//null caused some problems
//NOTE SPECIAL CASE: // one-to-one constrained=false cannot be proxied, // so default to join and non-lazy
"//	public ComponentMetamodel(Component component, SessionFactoryImplementor sessionFactory) {"
// ifnonnull (label1)
//do replacements
// persistOnFlush() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Begin unit of work
// AbstractSelectingDelegate impl ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// FieldHandler impl ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// todo : better to handle dynamic filters through implicit DynamicFilterParameterSpecification // see the discussion there in DynamicFilterParameterSpecification's javadocs as to why // it is currently not done that way.
// grab its state from the ResultSet and keep it in the Session // (but don't yet initialize the object itself) // note that we acquire LockMode.READ even if it was not requested
// Detect discriminator values...
// SQLException support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//this is basically a copy/paste of OrderByParser ... might be worth refactoring
// register resolvers set via Environment property
// parameter bind values...
// need to extract the component values and check for subtype replacements...
//cache this
// no transformations took place, so handle it as we would a // non-instrumented class
// todo : move this to SF per HHH-3517; also see HHH-1907 and ComponentMetamodel
//its the given optional object
// the old-time stand-by...
// position cursor to the last row
"//					int parameterStart = getWalker().getNumberOfParametersInSetClause(); //					List allParams = getIdSelectParameterSpecifications(); //					Iterator whereParams = allParams.subList( parameterStart, allParams.size() ).iterator();"
// at least one is a plain old Date
// Generate the property select tokens.
//not absolutely necessary, but helps for some //equals()/hashCode() implementations
// override on some subclasses
// DISCRIMINATOR
//its an interface so we can't really tell anything...
// return an empty Type array
"//		this.sessionFactory = sessionFactory;"
//TODO: would it be better to do a refresh from db?
// this only works because collection entries are kept in a sequenced // map by persistence context (maybe we should do like entities and // keep a separate sequences set...) //TODO: calling entrySet on an IdentityMap is SLOW!!
// Origial Dialect.java returns true;
"//			buf.append( selectFragment( lhsAlias, """" ) )//ignore suffix for collection columns!"
// Reset the node type, because the rest of the system is expecting FROM_FRAGMENT, all we wanted was // for the factory to create the right sub-class.  This might get reset again later on anyway to make the // SQL generation simpler.
// We've been here before
//60 seconds
// if no array holder we found an unwrappered array (this can't occur, // because we now always call wrap() before getting to here) // return (ah==null) ? true : searchForDirtyCollections(ah, type);
//not really necessary, I guess...
// we need to dirty check collections, since they can cause an owner // version number increment
//Query parser settings:
//update last non-whitespace token, if necessary
// todo : what is the implication of this?
// return ;
// dirty check against the usual snapshot of the entity
// [jsd] The fix for HHH-558...
//note: updates to joined tables can't be batched...
//==elementType ??
// Note: this simply constructs a "raw" SQL_TOKEN representing the // where fragment and injects this into the tree.  This "works"; // however it is probably not the best long-term solution. // // At some point we probably want to apply an additional grammar to // properly tokenize this where fragment into constituent parts // focused on the operators embedded within the fragment.
// (NOT (IS_NOT_NULL a b) ) => (IS_NULL a b)
// We have created the pool ourselves, so shut it down
// Informational metadata ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// find any entities that are still transient after retry
// Register the type of the out param - PostgreSQL uses Types.OTHER
//the owner of the association is not the owner of the id
//operations which cascade as far as the collection also cascade to collection elements
// The property is a collection...
//TODO: does this really need to be here? //      does the collection already have //      it's own up-to-date snapshot?
// an existing collection that was either non-empty or uninitialized // is replaced by null or a different collection // (if the collection is uninitialized, hibernate has no way of // knowing if the collection is actually empty without querying the db)
// loading ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// +1 to include the following '.'
//fetch="join" overrides default laziness //fetch="join" overrides default laziness
// again, null != null here
// If we want to handle it bidirectional and detached, we also need to load this // collection with an eager outer-join fetch, this time with Criteria and not HQL:
//final String queryString,
//ignore subselect keywords
// TODO: what type?
// The reason for this is SQL doesn't let you sort by an expression you are // not returning in the result set.
// (NOT (GT a b) ) => (LE a b)
// do the put outside the scope of the JTA txn
// temporary table support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Tag this node as a JOIN. // Don't include subclasses in the join. // This is a clollection join.
//don't need filters for the static loaders
// subclass closure properties
//TODO handle supportsNotNullUnique=false, but such a case does not exist in the wild so far
//TODO: should we use SELECT .. FOR UPDATE?
// try "get"
// Implicit joins use theta style (WHERE pk = fk), explicit joins use JOIN (after from)
// Execute the SQL:
// Oracle did add support for ANSI CASE statements in 9i
// If the join is implied, then don't include sub-classes on the element.
// would need an IdentitySet for this!
// all this only really needs to consider properties // of this class, not its subclasses, but since we // are reusing code used for sequential selects, we // use the subclass closure
// The RDMS concat() function only supports 2 parameters
// TODO: here is why we need to make bytecode provider global :( // TODO : again, fix this after HHH-1907 is complete
//Need this, since join condition can appear inside parens!
// IBID for current_time and current_date
"/** * Provides query splitting methods, which were originally in QueryTranslator. * <br> * TODO: This will need to be refactored at some point. * * @author josh */"
// we will need to remove ye olde entries
// if it is a compound path
// for an any
// lock doesn't cascade to uninitialized collections
// otherwise, utilize the static delete statements
// The uber-rule here is that we need to include  subclass joins if // the FromElement is in any way dereferenced by a property from // the subclass table; otherwise we end up with column references // qualified by a non-existent table reference in the resulting SQL...
// iconst_i
//QueryJoinFragment join = q.createJoinFragment(useThetaStyleJoin);
// unhappy about this being public ... is there a better way?
//TODO: we use two visitors here, inefficient!
// We represent a from-clause alias
// Now, inject the newly built ORDER BY into the tree
/*(array==null) ? tempList.size() :*/
// hibernate type mapping support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// new methods in dialect3
//write(); -- doesn't
// WHERE
// the closure of all properties in the entire hierarchy including // subclasses and superclasses of this class
//TODO: we could just return all false...
//sort first by entity name
// If the node has a first child, recurse into the first child.
// eat it and try next
// we need to strip off the embedded parens so that sql-gen does not double these up
// table=null -> an association // - fill it in later //TODO fill in the mappings for table == null
