// interfaces // arguments
// callable statement support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// replicate does cascade to uninitialized collections
// prefer re-generation of identity!
// ignore this error for now
// transfer an explicitly defined entity name // handle the lazy attribute
// return the connection
// First, collect all of the select expressions. // NOTE: This must be done *before* invoking setScalarColumnText() because setScalarColumnText() // changes the AST!!!
// TODO : this really needs to be delayed unitl after we definitively know all node types // where this is currently a problem is parameters for which where we cannot unequivocally // resolve an expected type
// iconst_i
// we found it
//TODO: optimize this better!
// it is or was referenced _somewhere_
// Collection of components.
//return classAlias == null ? className : classAlias;
//TODO: code duplication with JoinedSubclassEntityPersister
//need to hydrate it.
// TABLENAME
//null clientLock is remotely possible but will never happen in practice
// add temp entry so that the next step is circular-reference // safe - only needed because some types don't take proper // advantage of two-phase-load (esp. components)
// The current_timestamp is more accurate, but only known to be supported // in SQL Server 7.0 and later (i.e., Sybase not known to support it at all)
// found
//handle a property-ref
// You may still have other ResultSets or update counts left to process here  // but you can't do it now or the ResultSet you just got will be closed
//TODO: this class does too many things! we need a different //kind of path expression parser for each of the diffferent //ways in which path expressions can occur
// Handle collection-fiter compilation. // IMPORTANT NOTE: This is modifying the INPUT (HQL) tree, not the output tree!
// a collection loaded in the current session // can not possibly be the collection belonging // to the entity passed to update()
// Parse the query string into an HQL AST.
// Turn off includeSubclasses on all FromElements.
//note that each iteration of the loop may add new elements
// for convenience to save some lookups
// dirty check against the usual snapshot of the entity
//implicit polymorphism not supported (would need a union)
// *load_1 // each type
// end region to handling exception (BulkAccessorException)
//TODO!
// Generate implicit joins, only if necessary.
// Does the LIMIT clause take a "maximum" row number instead of a total number of returned rows?
//needed for SOAP libraries, etc
// the user specifically supplied update="true", // which constitutes an illegal combo
// Dialect function
// Put the THETA_JOINS node before the HQL condition, after the filters.
// Allows various loaders (ok mainly the QueryLoader :) to check // whether scrolling of their result set should be allowed. // // By default it is allowed.
"//			ps.close(); //just close it; do NOT try to return it to the pool! //NOTE: early exit!"
// todo : potentially look at optimizing these two arrays
// automatically makes a column with the default name if none is specifed by XML
// ldc // field name
// really there are two situations where it should be ok to allow the insertion // into properties defined on a superclass: //      1) union-subclass with an abstract root entity //      2) discrim-subclass // // #1 is handled already because of the fact that // UnionSubclassPersister alreay always returns 0 // for this call... // // we may want to disallow it for discrim-subclass just for // consistency-sake (currently does not work anyway)...
// mappings might contain either the "raw" extends name (in the case of // an entity-name mapping) or a FQN (in the case of a POJO mapping).
// find any entities that are still transient after retry
"//			        ( implied && DotNode.useThetaStyleImplicitJoins ) ) {"
//Sybase BIT type does not support null values
// early exit...
//String[] fk = StringHelper.qualify( "collection_", cp.getKeyColumnNames() );
// Create a new FILTERS node as a parent of all filters
// an uninitialized proxy, noop, don't even need to // return an id, since it is never a save()
"/*public Type[] getSqlResultTypes() {		return sqlResultTypes;	}*/"
// on the inverse, it makes sense that if a ThreadLocalSessionContext- // bound session then gets deserialized to go ahead and re-bind it to // the ThreadLocalSessionContext session map.
// cache region is defined by the root-class in the hierarchy...
// --Commented out by Inspection (12/11/04 10:56 AM): int getWarningCount();
// just ignore it for now, it'll get resolved later...
// If the uresolved property path isn't set yet, just use the property name.
//Enable for HHH-440, which we don't like:
// The FROM fragment will probably begin with ', '.  Remove this if it is present.
"//		componentTuplizerFactory = new ComponentTuplizerFactory();"
// ie. we never have to null out a reference to // an uninitialized proxy
// detached collections that get found + reattached // during flush shouldn't be ignored
//tableName = mappings.getNamingStrategy().propertyToTableName( className, path );
//safe from concurrent modification because of how entryList() is implemented on IdentityMap
// check two "adjecent" nodes at the top of the from-clause tree
// End of first unit of work
// Initialize the error handling delegate.
//important!!
// first, iterate over all elements capable of defining an extends attribute // collecting all found extends references if they cannot be resolved // against the already processed mappings.
//TODO: *two* hashmap lookups here is one too many...
// If the lhs is a collection, use CollectionPropertyMapping
// if the version of a newly instantiated object is not the same // as the version seed value, use that as the unsaved-value
// we need to wrtap the param in a cast()
//sql = query;
//get a snapshot
// no-op; CCS did not have such a concept
// the closure of all properties in the entire hierarchy including // subclasses and superclasses of this class
// properties of this class, including inherited properties
// Sets can be just a view of a part of another collection. // do we need to copy it to be sure it won't be changing // underneath us? // ie. this.set.addAll(set);
// For the case of dynamic-insert="true", we need to generate the INSERT SQL
"//		TypeFactory.deepCopy( currentState, propTypes, persister.getPropertyUpdateability(), deletedState, session );"
// try the parent FromClause...
// determine the id getter and setter methods from the proxy interface (if any) // determine all interfaces needed by the resulting proxy
// The getEmailAddresses() might trigger a lazy load of the collection
//problematic for <key-many-to-one>!
// all AliasToEntityMapResultTransformer are considered equal ~~~~~~~~~~~~~
//TODO: move to .sql package, and refactor with similar things!
// Don't include sub-classes for implied collection joins or subquery joins.
// even here, if only properties mapped to the "base table" are referenced // in the set and where clauses, this could be handled by the BasicDelegate. // TODO : decide if it is better performance-wise to perform that check, or to simply use the MultiTableUpdateDelegate
// now, any collections that are initialized // inside this block do not get updated - they // are ignored until the next flush
// bit_length feels a bit broken to me. We have to cast to char in order to // pass when a numeric value is supplied. But of course the answers given will // be wildly different for these two datatypes. 1234.5678 will be 9 bytes as // a char string but will be 8 or 16 bytes as a true numeric. // Jay Nance 2006-09-22
// According to both the ANSI-SQL and JPA specs, trim takes a variable number of parameters between 1 and 4. // at least one paramer (trimSource) is required.  From the SQL spec: // // <trim function> ::= //      TRIM <left paren> <trim operands> <right paren> // // <trim operands> ::= //      [ [ <trim specification> ] [ <trim character> ] FROM ] <trim source> // // <trim specification> ::= //      LEADING //      | TRAILING //      | BOTH // // If <trim specification> is omitted, BOTH is assumed. // If <trim character> is omitted, space is assumed
// COLUMN(S)
// we need to dirty check many-to-ones with not-found="ignore" in order  // to update the cache (not the database), since in this case a null // entity reference can lose information
