// renderer
// test a series with two items
// create the polygon // add the minuend's points to polygon
// now process the plot if there is one
// z number format
// value 1
//  double range = this.domainAxis.getRange().getLength(); //  double scaledRange = range * percent; //  domainAxis.setAnchoredRange(scaledRange);
// FIXME:  this code means that it is not possible to use more than // one domain axis for the combined plots...
// we assume that all other Paint instances implement equals() and // hashCode()...of course that might not be true, but what can we // do about it?
// work out the value, label and position
//  Test that there are 6 X points and some specific values
// prior to 1.0.14, we just fired a PropertyChange - so we need to // keep doing this
// Are we working with a time series.
// we are at the last hour in the day...
// -------------------------- // --- ChartPanel Methods --- // --------------------------
// do we need to update the crosshair values?
// TODO: check threshold
// hack to ensure the newly created swt fonts will be rendered with the // same height as the awt one
// not implemented
// I know it's bad to create object. better idea?
// the bounds should be calculated using just the items within // the current range of the x-axis...if there is one
// make array of exceptions
// add the insets
// end of workaround
// shadowsVisible
// FIXME: this attribute is not used - deprecate?
// MIDDLE: check d1, d2 and d3
// labelShadowPaint
// the clone contains a reference to a CLONE of the original object
"/** * An annotation that allows an image to be placed at some location on * an {@link XYPlot}. * * TODO:  implement serialization properly (image is not serializable). */"
// a redraw should NOT trigger another change event
//TODO: implement this method properly
// CASE 1 : Comparing to another Year object // -----------------------------------------
// test a series with 1 item
// verify that baseTimeline is compatible with us
// no event is generated if the dataset is already empty
// period
// quadrant paint
// value 0
// we can't do anything
// calculate constant values
// work out the space required by the domain axis...
// unused in parent
// compute slope components
// FIXME: draw outliers
// category 1
// apply dash style if any
// errorStroke
// TODO see if we need to apply some line color and style to the // axis traces
// TODO: use a generator here
// TODO Revert to SVN revision 2469 in JFreeChart 1.0.16 //      (MultipleGradientPaint's / JDK issues) // TODO THEN: change visibility of ALL darker(...) Methods EXCEPT //      darker(Paint) to private!
// TODO: implement the entity for the annotation
// here we tweak the notify flag on the plot so that only // one notification happens even though we update multiple // axes...
// showValueLines
// FIXME: the renderer interface doesn't have the drawDomainLine() // method, so we have to rely on the renderer being a subclass of // AbstractXYItemRenderer (which is lame)
// FIXME: Clone the attributed string if it is not null
// get the previous point and the next point so we can calculate a // "hot spot" for the area (used by the chart entity)...
// ****************************************************************** //  More than 150 demo applications are included with the JFreeChart //  Developer Guide...for more information, see: // //  >   http://www.object-refinery.com/jfreechart/guide.html // // ******************************************************************
// a column of all null values is still counted...
//parameter value is -10 > val < 10 //use as-is
//////////////////////////////////////////////////////////////////////////// // constructors and factory methods ////////////////////////////////////////////////////////////////////////////
// images considered equal only if they're the SAME object // TODO: is there a way to do a better test?
// calculate the adjusted data area taking into account the 3D effect... // this assumes that there is a 3D renderer, all this 3D effect is a // bit of an ugly hack...
// TO DO:  these annotations only work with XYPlot, see if it is possible to // make ContourPlot a subclass of XYPlot (DG);
// ignoreNullValues
// check a series with repeating items
// since this is only used by clearRect(), we don't update the GC yet
// check that the listener lists are independent
// first check that a valid renaming works
// build first tab
// TODO: For JFreeChart 1.2.0, this method should go in the //       ShapeUtilities class
// TODO: to be implemented
// ratio represents axis units
// capLength
// average radius
// plot
// here's a quirk - the API has been defined in terms of a plain // TimePeriod, which cannot make use of the timezone and locale // specified in the constructor...so we only do the time zone // pegging if the period is an instanceof RegularTimePeriod
// classify the keys according to which side the label will appear...
// find the point at the appropriate distance end point // along the axis/angle identified above and add it to the // polygon
// process all domain axes
// TODO: by coding the event with some information about what changed // in the dataset, we could make the recalculation of the interval // more efficient in some cases (for instance, if the change is // just an update to a y-value, then the x-interval doesn't need // updating)...
// we are starting a new series path
//TODO: shift block over to right
// FIXME: No getValueFormat() method?
//  create transform & transform shape
// the noCodeBaseClassLoader is configured by a call to the // removeCodeBase() method, typically in the init() method of an // applet...
// unused but must return something, so while we are at it...
// call parent method // setup flag based on bounds values
//private TickUnits standardTickUnits;
// FIXME: show a dialog with the error
// if the source point doesn't fall within a subplot, we do the // zoom on all subplots...
// this may be negative
// TODO: implement properly
// defer argument checking...
// add range axes to lists...
// starts at back, finishes at front (CLOCKWISE)
//// URL GENERATOR ////////////////////////////////////////////////////////
// separatorsVisible
// can't draw anything
// FIXME: implement this, low priority
// TODO: for now we are ignoring the height constraint
//same as for ChartEntity!
// FIXME: this attribute is never used - deprecate?
// ----------------- // --- Constants --- // -----------------
// FIXME:  it probably makes sense to allocate an array of 256 Colors // and lazily populate this array...
// yHigh
// axisLinePaint
// store Number as Double
// END: check d0
//TODO: shift block right by half
// end of column
// TODO:  this needs to move into the renderer state
// dial background paint
// time zone
// baseSectionPaint
// TODO: I think we need to make sure the keys are actually cloned, // whereas the stroke instances are always immutable so they're OK
// label
// return the override, if there is one...
// we'll have to use the method in the interface, but // this doesn't have the paint and stroke settings...
"/**     * Returns a string representing the week (e.g. ""Week 9, 2002"").     *     * TODO: look at internationalisation.     *     * @return A string representing the week.     */"
//drawingSupplier;
//FIXME we should really assert a value here
// valueFont
// FIXME: perhaps we should clone the data list
// orientation...
// FIXME: this should generate a series change event
// FIXME: the XYItemRenderer interface doesn't specify the // getAnnotations() method but it should
// locale should not matter here
// TBLRC // 10000 - top item only
// record the chart area, if info is requested...
// valuePaint
// are we using the chart buffer?
// if the incoming state is null, no information will be passed // back to the caller - but we create a temporary state to record // the plot area, since that is used later by the axes
// TODO:  this attribute should be transferred to the renderer state.
/* Ignore alpha-channel -> */
// hack to ensure the newly created awt fonts will be rendered with the // same height as the swt one
// could make this configurable
// TODO: could change this to itemFillPaint().  For backwards // compatibility, it might require a useFillPaint flag.
// get the current data item...
// FIXME: add setBaseItemURLGenerator(CategoryURLGenerator, boolean) ?
// an empty dataset should return a null max
// a Collection containing a NaN will return Double.NaN for the result
// FIXME: add setSeriesStroke(int, Stroke, boolean) ?
// TODO: In JFreeChart 1.2.0, put this method in the // CategoryItemRenderer interface
// needs to be improved !!!
// tick mark inside length...
// END: check d3 and d4
// delegate...
// FIXED / FIXED
// chart title // domain axis label // range axis label // data // orientation // include legend // tooltips? // URLs?
// if the dataset is not a StatisticalCategoryDataset then just revert // to the superclass (LineAndShapeRenderer) behaviour...
// if the current stroke is not a BasicStroke then it is handled as // a special case
// TBLRC // 10101 - top, left and center
//negative values are allowed
// TODO: fix output when this flag is set to true
// TODO: is this a good idea?
// calculate bar width...
// a new map always has 1 group (the default group)
// the segment is entirely at the // front of the chart
// skip if chart is null
// urlGeneratorList
// hasn't implemented DomainInfo, so iterate...
// cases 9, 10, 11 and 12
// the row may not have an entry for this key, in which case the // return value is null
// cached values used for interface DomainInfo:
// if it is not the series name, then we have no interest
// map a key to the default group
// rangeAxisLocation...
// check the new maximum date relative to the current minimum date
// no default renderer available
// FIXME:  need a locale as well as a timezone
//// PAINT ////////////////////////////////////////////////////////////////
// advance minuend and subtrahend to intesect
// calculate the result as if no exceptions
//not small log values in use; allow for values <= 0 //if did zero tick last iter then
// sectionOutlinePaint
// now we handle some special cases - yes, UGLY code alert!
// this may be obsolete (not used anywhere)
// check second argument less than first argument
/////////////////////////////////////////////////////////////////////////// // Private ///////////////////////////////////////////////////////////////////////////
// WITHOUT AUTOPRUNING
// check for series key out of bounds
// calculate the data area...
// first determine the size of the chart rendering area... // TODO workout insets for SWT
// fixed legend items
// secondary DatasetDomainAxisMap...
/////////////////////////////////////////////////////////////////////////// // New methods from CombinationDataset ///////////////////////////////////////////////////////////////////////////
// set up popup menu...
// TODO: move to plot state
// create a panel for the settings...
// lowerMargin
// test monday though friday timeline
// TODO : complete this
// draw minor tick marks
// try a dataset with some content...
// handle axis trace
// '+', remember value is negative
// defer argument checking
//TODO: shift block down by half
// note that a[0]=a[np-1]=0
// Note: It would be nice to pre-calculate this per series
// legendLine
//xyBarPainter;
// backgroundPaint
// submit this data item as a candidate for the crosshair point
// FIXME: use other fields too
// TODO: draw the interval marker with a 3D effect
// check that removing by index also works
// update the time series appropriately
// the method we want isn't in the CategoryItemRenderer // interface...
//TODO: shift block down to bottom
// now overwrite group "G2"...
// a dataset with a single value
/// a kludge to make everything work when no rows returned
// if the series is sorted, the negative index is a result from // Collections.binarySearch() and tells us where to insert the // new item...otherwise it will be just -1 and we should just // append the value to the list...
// draw the sections at the top of the pie (and set up tooltips)...
// maximumBarWidth
// exact match
// if the dataset implements DomainInfo, life is easy
// report this?
// background domain markers
// valueLocation
/* shape outlined = */
// if there is no specific paint, use the general one...
//{ // deep copy from values[], caller // can safely discard that array
// insets
// process all annotations
// shadowPaint
// TODO: implement this properly
// check that setting the min date to something on or after the // current min date works...
// set the plot properties...
// TODO: I think we need to make sure the keys are actually cloned, // whereas the paint instances are always immutable so they're OK
// tick label insets...
/*CategoryPlot plot =*/
// domainAxisLocation...
/// Determine max and min values.
// FIXME: add setSeriesItemURLGenerator(int, CategoryURLGenerator, boolean)?
// use item paint for outlines by // default, not outline paint
//  Serve it up
// Add each point to Area (x, y)
// TODO: need to fetch this from localised resources
// TODO: we didn't check the width yet
// paintScale
// if autoRange is true, then the current range is irrelevant
// shapeList // baseShape
// if we are rendering the values as percentages, we need to calculate // the total for the current item.  Unfortunately here we end up // repeating the calculation more times than is strictly necessary - // hopefully I'll come back to this and find a way to add the // total(s) to the renderer state.  The other problem is we implicitly // assume the dataset has no negative values...perhaps that can be // fixed too.
// not strictly necessary, since the // renderer set for the // parent plot is not used
//// ITEM LABEL PAINT  /////////////////////////////////////////////////////
// TODO:  the subplot areas needs to be moved out of the plot into the plot //        state
// FIXME:  implement this...
// draw start of critical range
// LineRenderer3D
// seem to be the same...
// TODO:  add constructors for combinations of number and date formatters.
//FIXME we should really assert a value
// FIXME: what if value is null on next line?
// subtitle 1 is the legend
// project onto subtrahend
// CREATE ENTITIES // FIXME:  these methods should be defined
//private double baseRadius;
// Unregister the collection as a change listener to each series in // the collection.
// axis line visible flag...
// TODO: URLEncode?
// FIXME: Check that there isn't already a series with the same key
// dataExtractOrder
// TODO:  move the above to the plot state
// TODO: complete this
// FIXME: need a locale as well as a timezone
// the pie area defines the circle/ellipse for regular pie sections. // it is defined by shrinking the explodeArea by the explodeMargin // factor.
// lowerBound
//TODO replace getSize by getBounds ?
// all attributes are immutable, so we can just return the super.clone() // FIXME: in fact, the generator itself is immutable, so cloning is // not necessary
// labelGap
// TODO find a better localization key
// TODO: add serialization support for images
